dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_7_edges_none_ER,GRaSP,2.2509219646453857,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,6.0,17.0,0,7816
dag_5_nodes_7_edges_none_ER,GRaSP,1.1353833675384521,2,1.0,0.0,0.6667,0.0,0.0,,7.0,19.0,1,3578
dag_5_nodes_7_edges_none_ER,GRaSP,2.014824151992798,0,0.0,0.0,0.0,,0.0,,7.0,15.0,2,2656
dag_5_nodes_7_edges_none_ER,GRaSP,1.7188189029693604,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,5.0,16.0,3,2688
dag_5_nodes_7_edges_none_ER,GRaSP,1.2487914562225342,4,0.0,0.5714,0.0,1.0,0.5714,0.7273,3.0,8.0,4,2494
dag_5_nodes_7_edges_none_ER,GRaSP,0.7854487895965576,0,0.0,0.0,0.0,,0.0,,7.0,15.0,5,183
dag_5_nodes_7_edges_none_ER,GRaSP,1.83900785446167,3,1.0,0.0,1.0,0.0,0.0,,7.0,19.0,6,7977
dag_5_nodes_7_edges_none_ER,GRaSP,2.007089614868164,3,0.0,0.4286,0.0,1.0,0.4286,0.6,4.0,11.0,7,3199
dag_5_nodes_7_edges_none_ER,GRaSP,0.46897196769714355,3,0.0,0.4286,0.0,1.0,0.4286,0.6,4.0,11.0,8,316
dag_5_nodes_7_edges_none_ER,GRaSP,1.1890864372253418,5,0.2,0.5714,0.3333,0.8,0.5714,0.6667,3.0,8.0,9,8266
dag_5_nodes_7_edges_none_ER,GRaSP,0.7252306938171387,3,0.0,0.4286,0.0,1.0,0.4286,0.6,4.0,11.0,10,1532
dag_5_nodes_7_edges_none_ER,GRaSP,2.8955142498016357,0,0.0,0.0,0.0,,0.0,,7.0,15.0,11,1009
dag_5_nodes_7_edges_none_ER,GRaSP,1.8955552577972412,2,0.0,0.2857,0.0,1.0,0.2857,0.4444,5.0,13.0,12,2250
dag_5_nodes_7_edges_none_ER,GRaSP,1.7255446910858154,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,5.0,10.0,13,4447
dag_5_nodes_7_edges_none_ER,GRaSP,0.636197566986084,0,0.0,0.0,0.0,,0.0,,7.0,15.0,14,2415
dag_5_nodes_7_edges_none_ER,GRaSP,2.8075315952301025,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,6.0,15.0,15,3595
dag_5_nodes_7_edges_none_ER,GRaSP,0.21500468254089355,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,5.0,16.0,16,4187
dag_5_nodes_7_edges_none_ER,GRaSP,2.395228624343872,0,0.0,0.0,0.0,,0.0,,7.0,15.0,17,4135
dag_5_nodes_7_edges_none_ER,GRaSP,1.6250619888305664,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,5.0,17.0,18,5174
dag_5_nodes_7_edges_none_ER,GRaSP,0.23724603652954102,0,0.0,0.0,0.0,,0.0,,7.0,15.0,19,5303
dag_5_nodes_7_edges_none_ER,GRaSP,1.1023142337799072,0,0.0,0.0,0.0,,0.0,,7.0,15.0,20,3942
dag_5_nodes_7_edges_none_ER,GRaSP,2.4598491191864014,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,5.0,13.0,21,2778
dag_5_nodes_7_edges_none_ER,GRaSP,0.969273567199707,3,0.0,0.4286,0.0,1.0,0.4286,0.6,4.0,11.0,22,2804
dag_5_nodes_7_edges_none_ER,GRaSP,1.0681400299072266,0,0.0,0.0,0.0,,0.0,,7.0,15.0,23,2145
dag_5_nodes_7_edges_none_ER,GRaSP,1.4545588493347168,3,0.0,0.4286,0.0,1.0,0.4286,0.6,4.0,11.0,24,150
dag_5_nodes_7_edges_none_ER,GRaSP,1.4445152282714844,0,0.0,0.0,0.0,,0.0,,7.0,15.0,25,8823
dag_5_nodes_7_edges_none_ER,GRaSP,1.9318444728851318,4,0.0,0.5714,0.0,1.0,0.5714,0.7273,3.0,8.0,26,4669
dag_5_nodes_7_edges_none_ER,GRaSP,0.5725085735321045,2,1.0,0.0,0.6667,0.0,0.0,,7.0,19.0,27,6131
dag_5_nodes_7_edges_none_ER,GRaSP,2.6783978939056396,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,5.0,16.0,28,2617
dag_5_nodes_7_edges_none_ER,GRaSP,1.6350042819976807,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,5.0,15.0,29,7166
