dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_none_SF,BOSS,1.3278169631958008,5,0.4,0.75,0.3333,0.4,0.5,0.4444,5.0,1.0,13.0,0,7816
dag_5_nodes_7_edges_none_SF,BOSS,0.21588635444641113,1,0.0,0.25,0.0,0.0,0.0,,3.0,4.0,7.0,1,3578
dag_5_nodes_7_edges_none_SF,BOSS,0.469862699508667,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,6.0,14.0,2,2656
dag_5_nodes_7_edges_none_SF,BOSS,0.5698277950286865,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,7.0,15.0,3,2688
dag_5_nodes_7_edges_none_SF,BOSS,0.8695578575134277,5,0.2,1.0,0.1667,0.6,0.75,0.6667,4.0,8.0,17.0,4,2494
dag_5_nodes_7_edges_none_SF,BOSS,0.4118618965148926,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,10.0,18.0,5,183
dag_5_nodes_7_edges_none_SF,BOSS,0.49254584312438965,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,6.0,14.0,6,7977
dag_5_nodes_7_edges_none_SF,BOSS,1.6494450569152832,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,10.0,18.0,7,3199
dag_5_nodes_7_edges_none_SF,BOSS,0.2638883590698242,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,10.0,18.0,8,316
dag_5_nodes_7_edges_none_SF,BOSS,0.6587352752685547,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,6.0,14.0,9,8266
dag_5_nodes_7_edges_none_SF,BOSS,0.6476914882659912,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,10.0,18.0,10,1532
dag_5_nodes_7_edges_none_SF,BOSS,1.6080889701843262,5,0.2,1.0,0.1667,0.6,0.75,0.6667,4.0,5.0,17.0,11,1009
dag_5_nodes_7_edges_none_SF,BOSS,1.947944164276123,5,0.4,0.75,0.3333,0.4,0.5,0.4444,5.0,1.0,13.0,12,2250
dag_5_nodes_7_edges_none_SF,BOSS,1.6156063079833984,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,10.0,18.0,13,4447
dag_5_nodes_7_edges_none_SF,BOSS,0.37437963485717773,3,0.0,0.75,0.0,1.0,0.75,0.8571,4.0,11.0,16.0,14,2415
dag_5_nodes_7_edges_none_SF,BOSS,0.37413954734802246,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,2.0,10.0,15,3595
dag_5_nodes_7_edges_none_SF,BOSS,0.4681222438812256,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,6.0,14.0,16,4187
dag_5_nodes_7_edges_none_SF,BOSS,0.4509396553039551,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,6.0,14.0,17,4135
dag_5_nodes_7_edges_none_SF,BOSS,0.5956380367279053,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,6.0,14.0,18,5174
dag_5_nodes_7_edges_none_SF,BOSS,0.23410344123840332,1,0.0,0.25,0.0,0.0,0.0,,3.0,4.0,7.0,19,5303
dag_5_nodes_7_edges_none_SF,BOSS,2.9924256801605225,5,0.2,1.0,0.1667,0.6,0.75,0.6667,4.0,8.0,17.0,20,3942
dag_5_nodes_7_edges_none_SF,BOSS,1.0285468101501465,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,6.0,14.0,21,2778
dag_5_nodes_7_edges_none_SF,BOSS,0.6655986309051514,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,10.0,18.0,22,2804
dag_5_nodes_7_edges_none_SF,BOSS,0.5146834850311279,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,10.0,18.0,23,2145
dag_5_nodes_7_edges_none_SF,BOSS,1.3555333614349365,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,10.0,18.0,24,150
dag_5_nodes_7_edges_none_SF,BOSS,0.4930417537689209,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,6.0,14.0,25,8823
dag_5_nodes_7_edges_none_SF,BOSS,1.7152893543243408,5,0.2,1.0,0.1667,0.6,0.75,0.6667,4.0,5.0,17.0,26,4669
dag_5_nodes_7_edges_none_SF,BOSS,0.7821662425994873,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,10.0,18.0,27,6131
dag_5_nodes_7_edges_none_SF,BOSS,2.2043230533599854,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,10.0,18.0,28,2617
