dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_none_random,GRaSP,0.7335038185119629,5,0.0,0.7143,0.0,0.6,0.4286,0.5,4.0,4.0,20.0,0,7816
dag_5_nodes_7_edges_none_random,GRaSP,0.879539966583252,7,0.1429,0.8571,0.3333,0.7143,0.7143,0.7143,4.0,5.0,19.0,1,3578
dag_5_nodes_7_edges_none_random,GRaSP,0.8705072402954102,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,2,2656
dag_5_nodes_7_edges_none_random,GRaSP,1.0386958122253418,6,0.0,0.8571,0.0,0.6667,0.5714,0.6154,3.0,7.0,18.0,3,2688
dag_5_nodes_7_edges_none_random,GRaSP,0.897824764251709,6,0.0,0.8571,0.0,0.8333,0.7143,0.7692,3.0,6.0,20.0,4,2494
dag_5_nodes_7_edges_none_random,GRaSP,0.4057281017303467,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,5,183
dag_5_nodes_7_edges_none_random,GRaSP,0.581047773361206,5,0.0,0.7143,0.0,0.8,0.5714,0.6667,4.0,8.0,20.0,6,7977
dag_5_nodes_7_edges_none_random,GRaSP,1.161008596420288,7,0.1429,0.8571,0.3333,0.5714,0.5714,0.5714,4.0,3.0,19.0,7,3199
dag_5_nodes_7_edges_none_random,GRaSP,0.32712268829345703,7,0.1429,0.8571,0.3333,0.5714,0.5714,0.5714,4.0,1.0,19.0,8,316
dag_5_nodes_7_edges_none_random,GRaSP,0.9274146556854248,5,0.0,0.7143,0.0,0.8,0.5714,0.6667,4.0,8.0,19.0,9,8266
dag_5_nodes_7_edges_none_random,GRaSP,0.4359257221221924,3,0.0,0.4286,0.0,0.6667,0.2857,0.4,5.0,9.0,18.0,10,1532
dag_5_nodes_7_edges_none_random,GRaSP,0.5513989925384521,6,0.0,0.8571,0.0,0.6667,0.5714,0.6154,2.0,2.0,20.0,11,1009
dag_5_nodes_7_edges_none_random,GRaSP,1.0235345363616943,7,0.1429,0.8571,0.3333,0.7143,0.7143,0.7143,4.0,5.0,19.0,12,2250
dag_5_nodes_7_edges_none_random,GRaSP,0.30937743186950684,3,0.0,0.4286,0.0,0.6667,0.2857,0.4,4.0,11.0,19.0,13,4447
dag_5_nodes_7_edges_none_random,GRaSP,0.3136725425720215,7,0.1429,0.8571,0.3333,0.7143,0.7143,0.7143,4.0,5.0,19.0,14,2415
dag_5_nodes_7_edges_none_random,GRaSP,1.404275894165039,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,15,3595
dag_5_nodes_7_edges_none_random,GRaSP,0.2960243225097656,5,0.2,0.5714,0.3333,0.4,0.2857,0.3333,4.0,6.0,17.0,16,4187
dag_5_nodes_7_edges_none_random,GRaSP,1.091108798980713,6,0.0,0.8571,0.0,0.6667,0.5714,0.6154,3.0,7.0,19.0,17,4135
dag_5_nodes_7_edges_none_random,GRaSP,1.1231672763824463,6,0.0,0.8571,0.0,0.8333,0.7143,0.7692,3.0,5.0,20.0,18,5174
dag_5_nodes_7_edges_none_random,GRaSP,1.0858032703399658,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,19,5303
dag_5_nodes_7_edges_none_random,GRaSP,0.855717658996582,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,20,3942
dag_5_nodes_7_edges_none_random,GRaSP,1.036712408065796,6,0.0,0.8571,0.0,0.6667,0.5714,0.6154,3.0,7.0,18.0,21,2778
dag_5_nodes_7_edges_none_random,GRaSP,0.4795088768005371,6,0.0,0.8571,0.0,0.8333,0.7143,0.7692,3.0,5.0,20.0,22,2804
dag_5_nodes_7_edges_none_random,GRaSP,0.5240719318389893,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,23,2145
dag_5_nodes_7_edges_none_random,GRaSP,0.6761350631713867,6,0.0,0.8571,0.0,0.6667,0.5714,0.6154,2.0,1.0,16.0,24,150
dag_5_nodes_7_edges_none_random,GRaSP,0.35822272300720215,7,0.1429,0.8571,0.3333,0.5714,0.5714,0.5714,4.0,1.0,19.0,25,8823
dag_5_nodes_7_edges_none_random,GRaSP,0.8318154811859131,5,0.0,0.7143,0.0,1.0,0.7143,0.8333,4.0,11.0,20.0,26,4669
dag_5_nodes_7_edges_none_random,GRaSP,0.36142849922180176,6,0.0,0.8571,0.0,0.8333,0.7143,0.7692,3.0,5.0,20.0,27,6131
dag_5_nodes_7_edges_none_random,GRaSP,1.1770110130310059,6,0.0,0.8571,0.0,0.6667,0.5714,0.6154,2.0,2.0,20.0,28,2617
dag_5_nodes_7_edges_none_random,GRaSP,0.7533986568450928,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,29,7166
dag_5_nodes_7_edges_none_random,GRaSP,0.46034908294677734,6,0.0,0.8571,0.0,0.6667,0.5714,0.6154,3.0,7.0,19.0,30,1428
dag_5_nodes_7_edges_none_random,GRaSP,1.2035584449768066,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,31,8328
dag_5_nodes_7_edges_none_random,GRaSP,0.835930347442627,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,32,8289
dag_5_nodes_7_edges_none_random,GRaSP,0.651846170425415,7,0.1429,0.8571,0.3333,0.5714,0.5714,0.5714,3.0,1.0,16.0,33,5978
dag_5_nodes_7_edges_none_random,GRaSP,0.8541109561920166,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,34,5511
dag_5_nodes_7_edges_none_random,GRaSP,0.502082347869873,7,0.1429,0.8571,0.3333,0.5714,0.5714,0.5714,4.0,1.0,19.0,35,5864
dag_5_nodes_7_edges_none_random,GRaSP,1.0542051792144775,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,36,606
dag_5_nodes_7_edges_none_random,GRaSP,0.6890482902526855,4,0.0,0.5714,0.0,1.0,0.5714,0.7273,5.0,10.0,16.0,37,1933
dag_5_nodes_7_edges_none_random,GRaSP,1.1345529556274414,5,0.0,0.7143,0.0,0.8,0.5714,0.6667,4.0,9.0,20.0,38,6071
dag_5_nodes_7_edges_none_random,GRaSP,0.9152622222900391,8,0.125,1.0,0.3333,0.625,0.7143,0.6667,3.0,0.0,19.0,39,5504
dag_5_nodes_7_edges_none_random,GRaSP,1.0691156387329102,5,0.0,0.7143,0.0,0.6,0.4286,0.5,4.0,8.0,19.0,40,5163
dag_5_nodes_7_edges_none_random,GRaSP,0.7080388069152832,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,41,2406
dag_5_nodes_7_edges_none_random,GRaSP,1.4990556240081787,5,0.0,0.7143,0.0,0.6,0.4286,0.5,4.0,8.0,19.0,42,304
dag_5_nodes_7_edges_none_random,GRaSP,0.8263020515441895,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,43,3391
dag_5_nodes_7_edges_none_random,GRaSP,0.5901210308074951,6,0.0,0.8571,0.0,0.6667,0.5714,0.6154,3.0,7.0,19.0,44,359
dag_5_nodes_7_edges_none_random,GRaSP,0.9677860736846924,7,0.1429,0.8571,0.3333,0.5714,0.5714,0.5714,4.0,1.0,19.0,45,9096
dag_5_nodes_7_edges_none_random,GRaSP,0.7304015159606934,6,0.0,0.8571,0.0,0.8333,0.7143,0.7692,3.0,5.0,20.0,46,3533
dag_5_nodes_7_edges_none_random,GRaSP,1.1001026630401611,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,47,4125
dag_5_nodes_7_edges_none_random,GRaSP,0.5917313098907471,6,0.0,0.8571,0.0,0.8333,0.7143,0.7692,3.0,5.0,20.0,48,3094
dag_5_nodes_7_edges_none_random,GRaSP,0.587446928024292,7,0.0,1.0,0.0,0.7143,0.7143,0.7143,2.0,4.0,19.0,49,6398
