dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_semantics_ER,BOSS,0.663355827331543,5,0.2,0.5714,0.3333,0.4,0.2857,0.3333,6.0,6.0,16.0,0,7816
dag_5_nodes_7_edges_semantics_ER,BOSS,1.05204439163208,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,5.0,1.0,19.0,1,3578
dag_5_nodes_7_edges_semantics_ER,BOSS,0.8643310070037842,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,8.0,20.0,2,2656
dag_5_nodes_7_edges_semantics_ER,BOSS,1.1045808792114258,8,0.125,1.0,0.3333,0.25,0.2857,0.2667,5.0,0.0,19.0,3,2688
dag_5_nodes_7_edges_semantics_ER,BOSS,0.9657983779907227,8,0.125,1.0,0.3333,0.25,0.2857,0.2667,5.0,0.0,19.0,4,2494
dag_5_nodes_7_edges_semantics_ER,BOSS,0.3059046268463135,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,5.0,6.0,16.0,5,183
dag_5_nodes_7_edges_semantics_ER,BOSS,0.8412292003631592,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,8.0,20.0,6,7977
dag_5_nodes_7_edges_semantics_ER,BOSS,1.33402419090271,7,0.1429,0.8571,0.3333,0.1429,0.1429,0.1429,6.0,3.0,18.0,7,3199
dag_5_nodes_7_edges_semantics_ER,BOSS,0.4865546226501465,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,8.0,20.0,8,316
dag_5_nodes_7_edges_semantics_ER,BOSS,1.1955323219299316,6,0.1667,0.7143,0.3333,0.3333,0.2857,0.3077,5.0,4.0,16.0,9,8266
dag_5_nodes_7_edges_semantics_ER,BOSS,0.5904967784881592,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,4.0,11.0,20.0,10,1532
dag_5_nodes_7_edges_semantics_ER,BOSS,0.6385443210601807,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,5.0,1.0,19.0,11,1009
dag_5_nodes_7_edges_semantics_ER,BOSS,1.2489280700683594,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,6.0,2.0,20.0,12,2250
dag_5_nodes_7_edges_semantics_ER,BOSS,1.0854527950286865,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,6.0,2.0,20.0,13,4447
dag_5_nodes_7_edges_semantics_ER,BOSS,0.5625488758087158,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,5.0,5.0,19.0,14,2415
dag_5_nodes_7_edges_semantics_ER,BOSS,0.935546875,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,5.0,11.0,20.0,15,3595
dag_5_nodes_7_edges_semantics_ER,BOSS,0.4933023452758789,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,5.0,5.0,19.0,16,4187
dag_5_nodes_7_edges_semantics_ER,BOSS,1.1306779384613037,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,8.0,20.0,17,4135
dag_5_nodes_7_edges_semantics_ER,BOSS,0.5984935760498047,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,4.0,4.0,16.0,18,5174
dag_5_nodes_7_edges_semantics_ER,BOSS,1.122511386871338,6,0.1667,0.7143,0.3333,0.3333,0.2857,0.3077,6.0,5.0,20.0,19,5303
dag_5_nodes_7_edges_semantics_ER,BOSS,0.927337646484375,4,0.0,0.5714,0.0,0.0,0.0,,6.0,12.0,20.0,20,3942
dag_5_nodes_7_edges_semantics_ER,BOSS,1.1127393245697021,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,6.0,2.0,20.0,21,2778
dag_5_nodes_7_edges_semantics_ER,BOSS,0.6745152473449707,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,8.0,20.0,22,2804
dag_5_nodes_7_edges_semantics_ER,BOSS,0.541287899017334,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,8.0,20.0,23,2145
dag_5_nodes_7_edges_semantics_ER,BOSS,1.0631027221679688,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,6.0,2.0,20.0,24,150
dag_5_nodes_7_edges_semantics_ER,BOSS,0.4859659671783447,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,8.0,20.0,25,8823
dag_5_nodes_7_edges_semantics_ER,BOSS,1.4332892894744873,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,8.0,20.0,26,4669
