dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_semantics_ER,GRaSP,0.44913434982299805,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,5.0,5.0,19.0,0,7816
dag_5_nodes_7_edges_semantics_ER,GRaSP,0.5311834812164307,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,8.0,20.0,1,3578
dag_5_nodes_7_edges_semantics_ER,GRaSP,0.728168249130249,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,5.0,5.0,19.0,2,2656
dag_5_nodes_7_edges_semantics_ER,GRaSP,0.8390650749206543,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,8.0,20.0,3,2688
dag_5_nodes_7_edges_semantics_ER,GRaSP,1.0528693199157715,8,0.125,1.0,0.3333,0.25,0.2857,0.2667,5.0,0.0,19.0,4,2494
dag_5_nodes_7_edges_semantics_ER,GRaSP,0.3274357318878174,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,5.0,6.0,16.0,5,183
dag_5_nodes_7_edges_semantics_ER,GRaSP,0.9785451889038086,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,4.0,9.0,20.0,6,7977
dag_5_nodes_7_edges_semantics_ER,GRaSP,1.3368103504180908,7,0.1429,0.8571,0.3333,0.1429,0.1429,0.1429,6.0,3.0,18.0,7,3199
dag_5_nodes_7_edges_semantics_ER,GRaSP,0.48493313789367676,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,8.0,20.0,8,316
dag_5_nodes_7_edges_semantics_ER,GRaSP,0.8659770488739014,6,0.1667,0.7143,0.3333,0.3333,0.2857,0.3077,5.0,4.0,16.0,9,8266
dag_5_nodes_7_edges_semantics_ER,GRaSP,0.38594818115234375,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,4.0,7.0,16.0,10,1532
