dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_7_edges_semantics_SF,GRaSP,0.8228018283843994,0,0.0,0.0,0.0,,0.0,,4.0,6.0,0,7816
dag_5_nodes_7_edges_semantics_SF,GRaSP,1.6086363792419434,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,1,3578
dag_5_nodes_7_edges_semantics_SF,GRaSP,1.1761300563812256,0,0.0,0.0,0.0,,0.0,,4.0,6.0,2,2656
dag_5_nodes_7_edges_semantics_SF,GRaSP,0.7513272762298584,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,3,2688
dag_5_nodes_7_edges_semantics_SF,GRaSP,1.287898302078247,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,4,2494
dag_5_nodes_7_edges_semantics_SF,GRaSP,0.5526039600372314,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,5,183
dag_5_nodes_7_edges_semantics_SF,GRaSP,1.8846909999847412,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,6,7977
dag_5_nodes_7_edges_semantics_SF,GRaSP,1.107410192489624,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,7,3199
dag_5_nodes_7_edges_semantics_SF,GRaSP,0.5478096008300781,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,8,316
dag_5_nodes_7_edges_semantics_SF,GRaSP,1.5791435241699219,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,9,8266
dag_5_nodes_7_edges_semantics_SF,GRaSP,0.43506741523742676,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,10,1532
dag_5_nodes_7_edges_semantics_SF,GRaSP,2.0064711570739746,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,11,1009
dag_5_nodes_7_edges_semantics_SF,GRaSP,1.4886806011199951,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,12,2250
