dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_semantics_random,BOSS,1.7764310836791992,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,0,7816
dag_5_nodes_7_edges_semantics_random,BOSS,0.638638973236084,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,1,3578
dag_5_nodes_7_edges_semantics_random,BOSS,1.1277310848236084,6,0.0,0.8571,0.0,0.5,0.4286,0.4615,1.0,3.0,20.0,2,2656
dag_5_nodes_7_edges_semantics_random,BOSS,0.6460857391357422,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,3,2688
dag_5_nodes_7_edges_semantics_random,BOSS,1.694453239440918,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,1.0,3.0,19.0,4,2494
dag_5_nodes_7_edges_semantics_random,BOSS,0.8295762538909912,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,5,183
dag_5_nodes_7_edges_semantics_random,BOSS,1.967935562133789,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,6,7977
dag_5_nodes_7_edges_semantics_random,BOSS,0.9525661468505859,3,0.0,0.4286,0.0,0.6667,0.2857,0.4,4.0,12.0,15.0,7,3199
dag_5_nodes_7_edges_semantics_random,BOSS,0.9110720157623291,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,8,316
dag_5_nodes_7_edges_semantics_random,BOSS,0.6937403678894043,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,9,8266
dag_5_nodes_7_edges_semantics_random,BOSS,1.3416094779968262,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,10,1532
dag_5_nodes_7_edges_semantics_random,BOSS,0.9193425178527832,6,0.0,0.8571,0.0,0.5,0.4286,0.4615,1.0,3.0,20.0,11,1009
dag_5_nodes_7_edges_semantics_random,BOSS,1.534010410308838,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,1.0,3.0,18.0,12,2250
dag_5_nodes_7_edges_semantics_random,BOSS,1.1799194812774658,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,2.0,8.0,20.0,13,4447
dag_5_nodes_7_edges_semantics_random,BOSS,1.0611815452575684,6,0.0,0.8571,0.0,0.5,0.4286,0.4615,1.0,3.0,20.0,14,2415
dag_5_nodes_7_edges_semantics_random,BOSS,1.1884491443634033,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,15,3595
dag_5_nodes_7_edges_semantics_random,BOSS,1.1382222175598145,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,16,4187
dag_5_nodes_7_edges_semantics_random,BOSS,0.913886308670044,6,0.0,0.8571,0.0,0.5,0.4286,0.4615,1.0,5.0,20.0,17,4135
dag_5_nodes_7_edges_semantics_random,BOSS,1.4180033206939697,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,1.0,3.0,20.0,18,5174
dag_5_nodes_7_edges_semantics_random,BOSS,1.0155413150787354,6,0.0,0.8571,0.0,0.5,0.4286,0.4615,1.0,3.0,20.0,19,5303
dag_5_nodes_7_edges_semantics_random,BOSS,1.080348253250122,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,1.0,3.0,20.0,20,3942
dag_5_nodes_7_edges_semantics_random,BOSS,1.3585844039916992,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,21,2778
dag_5_nodes_7_edges_semantics_random,BOSS,1.270336389541626,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,22,2804
dag_5_nodes_7_edges_semantics_random,BOSS,0.8942568302154541,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,23,2145
dag_5_nodes_7_edges_semantics_random,BOSS,2.367166757583618,6,0.0,0.8571,0.0,0.5,0.4286,0.4615,1.0,3.0,20.0,24,150
dag_5_nodes_7_edges_semantics_random,BOSS,0.6334497928619385,6,0.0,0.8571,0.0,0.5,0.4286,0.4615,1.0,1.0,16.0,25,8823
dag_5_nodes_7_edges_semantics_random,BOSS,0.5831809043884277,5,0.0,0.7143,0.0,0.6,0.4286,0.5,2.0,5.0,20.0,26,4669
dag_5_nodes_7_edges_semantics_random,BOSS,2.2073724269866943,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,4.0,19.0,27,6131
dag_5_nodes_7_edges_semantics_random,BOSS,1.7568879127502441,6,0.0,0.8571,0.0,0.5,0.4286,0.4615,1.0,1.0,16.0,28,2617
dag_5_nodes_7_edges_semantics_random,BOSS,1.001943826675415,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,29,7166
dag_5_nodes_7_edges_semantics_random,BOSS,1.9257972240447998,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,30,1428
dag_5_nodes_7_edges_semantics_random,BOSS,1.2103445529937744,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,31,8328
dag_5_nodes_7_edges_semantics_random,BOSS,0.6724538803100586,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,32,8289
dag_5_nodes_7_edges_semantics_random,BOSS,2.2653980255126953,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,1.0,3.0,20.0,33,5978
dag_5_nodes_7_edges_semantics_random,BOSS,1.8605499267578125,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,34,5511
dag_5_nodes_7_edges_semantics_random,BOSS,0.8284897804260254,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,1.0,3.0,18.0,35,5864
dag_5_nodes_7_edges_semantics_random,BOSS,1.479116439819336,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,2.0,6.0,20.0,36,606
dag_5_nodes_7_edges_semantics_random,BOSS,1.5659000873565674,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,37,1933
dag_5_nodes_7_edges_semantics_random,BOSS,1.0876410007476807,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,3.0,10.0,20.0,38,6071
dag_5_nodes_7_edges_semantics_random,BOSS,1.6883735656738281,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,4.0,19.0,39,5504
dag_5_nodes_7_edges_semantics_random,BOSS,1.2381410598754883,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,40,5163
dag_5_nodes_7_edges_semantics_random,BOSS,2.4506032466888428,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,41,2406
dag_5_nodes_7_edges_semantics_random,BOSS,1.9956598281860352,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,4.0,19.0,42,304
dag_5_nodes_7_edges_semantics_random,BOSS,0.9418094158172607,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,43,3391
dag_5_nodes_7_edges_semantics_random,BOSS,1.3644297122955322,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,2.0,6.0,20.0,44,359
dag_5_nodes_7_edges_semantics_random,BOSS,3.082857370376587,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,4.0,19.0,45,9096
dag_5_nodes_7_edges_semantics_random,BOSS,1.0277321338653564,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,46,3533
dag_5_nodes_7_edges_semantics_random,BOSS,1.1540892124176025,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,47,4125
dag_5_nodes_7_edges_semantics_random,BOSS,1.1555721759796143,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,1.0,3.0,20.0,48,3094
dag_5_nodes_7_edges_semantics_random,BOSS,1.0683319568634033,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,0.0,19.0,49,6398
