dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.022996187210083008,8,0.375,0.2941,0.1071,0.625,0.2941,0.4,12.0,,0,7816
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.01599907875061035,8,0.25,0.3529,0.0714,0.75,0.3529,0.48,11.0,,1,3578
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.009518861770629883,4,0.25,0.1765,0.0357,0.75,0.1765,0.2857,14.0,,2,2656
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.010993719100952148,2,0.0,0.1176,0.0,1.0,0.1176,0.2105,15.0,,3,2688
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.02700018882751465,8,0.25,0.3529,0.0714,0.75,0.3529,0.48,12.0,,4,2494
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.020001649856567383,9,0.4444,0.2941,0.1429,0.5556,0.2941,0.3846,13.0,,5,183
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.020514726638793945,7,0.4286,0.2353,0.1071,0.5714,0.2353,0.3333,13.0,,6,7977
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.021003246307373047,8,0.375,0.2941,0.1071,0.625,0.2941,0.4,13.0,,7,3199
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.03604769706726074,9,0.3333,0.3529,0.1071,0.6667,0.3529,0.4615,11.0,,8,316
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.009999513626098633,5,0.2,0.2353,0.0357,0.8,0.2353,0.3636,13.0,,9,8266
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.047998666763305664,12,0.25,0.5294,0.1071,0.75,0.5294,0.6207,8.0,,10,1532
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.030997753143310547,7,0.4286,0.2353,0.1071,0.5714,0.2353,0.3333,14.0,,11,1009
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.016517162322998047,7,0.4286,0.2353,0.1071,0.5714,0.2353,0.3333,13.0,,12,2250
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.01999950408935547,8,0.375,0.2941,0.1071,0.625,0.2941,0.4,13.0,,13,4447
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.017001867294311523,7,0.5714,0.1765,0.1429,0.4286,0.1765,0.25,14.0,,14,2415
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.01200103759765625,6,0.3333,0.2353,0.0714,0.6667,0.2353,0.3478,13.0,,15,3595
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.02400660514831543,,,,,,,,,,16,4187
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.04900312423706055,11,0.4545,0.3529,0.1786,0.5455,0.3529,0.4286,11.0,,17,4135
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.014004945755004883,1,0.0,0.0588,0.0,1.0,0.0588,0.1111,16.0,,18,5174
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.015008926391601562,8,0.25,0.3529,0.0714,0.75,0.3529,0.48,11.0,,19,5303
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.021519899368286133,7,0.2857,0.2941,0.0714,0.7143,0.2941,0.4167,12.0,,20,3942
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.017001867294311523,7,0.2857,0.2941,0.0714,0.7143,0.2941,0.4167,12.0,,21,2778
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.012000560760498047,5,0.0,0.2941,0.0,1.0,0.2941,0.4545,12.0,,22,2804
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.02451491355895996,,,,,,,,,,23,2145
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.009997844696044922,4,0.25,0.1765,0.0357,0.75,0.1765,0.2857,14.0,,24,150
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.016000747680664062,7,0.4286,0.2353,0.1071,0.5714,0.2353,0.3333,13.0,,25,8823
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.012005090713500977,7,0.2857,0.2941,0.0714,0.7143,0.2941,0.4167,12.0,,26,4669
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.03752636909484863,10,0.5,0.2941,0.1786,0.5,0.2941,0.3704,12.0,,27,6131
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.02299952507019043,10,0.2,0.4706,0.0714,0.8,0.4706,0.5926,9.0,,28,2617
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.014999866485595703,7,0.4286,0.2353,0.1071,0.5714,0.2353,0.3333,13.0,,29,7166
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.03651547431945801,10,0.5,0.2941,0.1786,0.5,0.2941,0.3704,12.0,,30,1428
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.01651477813720703,6,0.6667,0.1176,0.1429,0.3333,0.1176,0.1739,15.0,,31,8328
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.013002872467041016,2,0.0,0.1176,0.0,1.0,0.1176,0.2105,15.0,,32,8289
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.025005102157592773,8,0.75,0.1176,0.2143,0.25,0.1176,0.16,15.0,,33,5978
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.03400230407714844,11,0.4545,0.3529,0.1786,0.5455,0.3529,0.4286,11.0,,34,5511
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.03500509262084961,,,,,,,,,,35,5864
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.01900172233581543,8,0.375,0.2941,0.1071,0.625,0.2941,0.4,12.0,,36,606
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.02965569496154785,9,0.2222,0.4118,0.0714,0.7778,0.4118,0.5385,10.0,,37,1933
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.029001712799072266,11,0.2727,0.4706,0.1071,0.7273,0.4706,0.5714,9.0,,38,6071
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.010001897811889648,6,0.3333,0.2353,0.0714,0.6667,0.2353,0.3478,13.0,,39,5504
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.010996818542480469,7,0.4286,0.2353,0.1071,0.5714,0.2353,0.3333,13.0,,40,5163
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.02899789810180664,10,0.5,0.2941,0.1786,0.5,0.2941,0.3704,12.0,,41,2406
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.011998891830444336,5,0.2,0.2353,0.0357,0.8,0.2353,0.3636,13.0,,42,304
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.010005712509155273,7,0.2857,0.2941,0.0714,0.7143,0.2941,0.4167,12.0,,43,3391
dag_10_nodes_15_edges_degrees_SF,MPC-LLM,0.018002033233642578,5,0.4,0.1765,0.0714,0.6,0.1765,0.2727,14.0,,44,359
