dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_15_edges_none_random,MPC-LLM,0.022997617721557617,9,0.0,0.6,0.0,0.4444,0.2667,0.3333,13.0,,,0,7816
dag_10_nodes_15_edges_none_random,MPC-LLM,0.03309130668640137,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,13.0,,,1,3578
dag_10_nodes_15_edges_none_random,MPC-LLM,0.012001276016235352,7,0.0,0.4667,0.0,0.2857,0.1333,0.1818,13.0,,,2,2656
dag_10_nodes_15_edges_none_random,MPC-LLM,0.019000768661499023,9,0.0,0.6,0.0,0.4444,0.2667,0.3333,13.0,,,3,2688
dag_10_nodes_15_edges_none_random,MPC-LLM,0.021004915237426758,9,0.0,0.6,0.0,0.4444,0.2667,0.3333,14.0,,,4,2494
dag_10_nodes_15_edges_none_random,MPC-LLM,0.023003816604614258,11,0.1818,0.6,0.0667,0.4545,0.3333,0.3846,16.0,,,5,183
dag_10_nodes_15_edges_none_random,MPC-LLM,0.015999555587768555,9,0.0,0.6,0.0,0.3333,0.2,0.25,13.0,,,6,7977
dag_10_nodes_15_edges_none_random,MPC-LLM,0.013001680374145508,6,0.0,0.4,0.0,0.1667,0.0667,0.0952,13.0,,,7,3199
dag_10_nodes_15_edges_none_random,MPC-LLM,0.04651832580566406,12,0.0,0.8,0.0,0.3333,0.2667,0.2963,13.0,,,8,316
dag_10_nodes_15_edges_none_random,MPC-LLM,0.010000467300415039,6,0.1667,0.3333,0.0333,0.3333,0.1333,0.1905,15.0,,,9,8266
dag_10_nodes_15_edges_none_random,MPC-LLM,0.01599597930908203,8,0.0,0.5333,0.0,0.125,0.0667,0.087,13.0,,,10,1532
dag_10_nodes_15_edges_none_random,MPC-LLM,0.032514095306396484,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,13.0,,,11,1009
dag_10_nodes_15_edges_none_random,MPC-LLM,0.018999814987182617,9,0.0,0.6,0.0,0.4444,0.2667,0.3333,15.0,,,12,2250
dag_10_nodes_15_edges_none_random,MPC-LLM,0.014001131057739258,8,0.0,0.5333,0.0,0.375,0.2,0.2609,13.0,,,13,4447
dag_10_nodes_15_edges_none_random,MPC-LLM,0.05022692680358887,13,0.0,0.8667,0.0,0.3846,0.3333,0.3571,13.0,,,14,2415
dag_10_nodes_15_edges_none_random,MPC-LLM,0.01851344108581543,9,0.1111,0.5333,0.0333,0.2222,0.1333,0.1667,15.0,,,15,3595
dag_10_nodes_15_edges_none_random,MPC-LLM,0.03200531005859375,11,0.0,0.7333,0.0,0.2727,0.2,0.2308,13.0,,,16,4187
dag_10_nodes_15_edges_none_random,MPC-LLM,0.022998809814453125,7,0.0,0.4667,0.0,0.2857,0.1333,0.1818,13.0,,,17,4135
dag_10_nodes_15_edges_none_random,MPC-LLM,0.013000965118408203,7,0.0,0.4667,0.0,0.2857,0.1333,0.1818,14.0,,,18,5174
dag_10_nodes_15_edges_none_random,MPC-LLM,0.013000726699829102,6,0.0,0.4,0.0,0.1667,0.0667,0.0952,13.0,,,19,5303
dag_10_nodes_15_edges_none_random,MPC-LLM,0.01200103759765625,7,0.0,0.4667,0.0,0.1429,0.0667,0.0909,13.0,,,20,3942
dag_10_nodes_15_edges_none_random,MPC-LLM,0.019005775451660156,9,0.1111,0.5333,0.0333,0.3333,0.2,0.25,15.0,,,21,2778
dag_10_nodes_15_edges_none_random,MPC-LLM,0.08251595497131348,15,0.2,0.8,0.1,0.3333,0.3333,0.3333,16.0,,,22,2804
dag_10_nodes_15_edges_none_random,MPC-LLM,0.017000675201416016,9,0.0,0.6,0.0,0.5556,0.3333,0.4167,13.0,,,23,2145
dag_10_nodes_15_edges_none_random,MPC-LLM,0.01999950408935547,9,0.0,0.6,0.0,0.3333,0.2,0.25,14.0,,,24,150
dag_10_nodes_15_edges_none_random,MPC-LLM,0.06910014152526855,15,0.0667,0.9333,0.0333,0.4,0.4,0.4,14.0,,,25,8823
dag_10_nodes_15_edges_none_random,MPC-LLM,0.017999649047851562,8,0.25,0.4,0.0667,0.125,0.0667,0.087,15.0,,,26,4669
dag_10_nodes_15_edges_none_random,MPC-LLM,0.040522098541259766,8,0.0,0.5333,0.0,0.25,0.1333,0.1739,14.0,,,27,6131
dag_10_nodes_15_edges_none_random,MPC-LLM,0.02800893783569336,11,0.0,0.7333,0.0,0.2727,0.2,0.2308,13.0,,,28,2617
dag_10_nodes_15_edges_none_random,MPC-LLM,0.02699756622314453,10,0.0,0.6667,0.0,0.4,0.2667,0.32,14.0,,,29,7166
dag_10_nodes_15_edges_none_random,MPC-LLM,0.030999422073364258,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,13.0,,,30,1428
dag_10_nodes_15_edges_none_random,MPC-LLM,0.01842212677001953,9,0.0,0.6,0.0,0.3333,0.2,0.25,13.0,,,31,8328
dag_10_nodes_15_edges_none_random,MPC-LLM,0.022001981735229492,10,0.1,0.6,0.0333,0.3,0.2,0.24,15.0,,,32,8289
dag_10_nodes_15_edges_none_random,MPC-LLM,0.016001462936401367,7,0.0,0.4667,0.0,0.2857,0.1333,0.1818,13.0,,,33,5978
dag_10_nodes_15_edges_none_random,MPC-LLM,0.024527549743652344,9,0.0,0.6,0.0,0.2222,0.1333,0.1667,13.0,,,34,5511
dag_10_nodes_15_edges_none_random,MPC-LLM,0.044150352478027344,11,0.0909,0.6667,0.0333,0.3636,0.2667,0.3077,15.0,,,35,5864
dag_10_nodes_15_edges_none_random,MPC-LLM,0.020004749298095703,10,0.0,0.6667,0.0,0.3,0.2,0.24,13.0,,,36,606
dag_10_nodes_15_edges_none_random,MPC-LLM,0.024996280670166016,11,0.1818,0.6,0.0667,0.1818,0.1333,0.1538,15.0,,,37,1933
dag_10_nodes_15_edges_none_random,MPC-LLM,0.024515867233276367,10,0.1,0.6,0.0333,0.3,0.2,0.24,14.0,,,38,6071
dag_10_nodes_15_edges_none_random,MPC-LLM,0.02200174331665039,9,0.0,0.6,0.0,0.2222,0.1333,0.1667,13.0,,,39,5504
dag_10_nodes_15_edges_none_random,MPC-LLM,0.010999917984008789,8,0.125,0.4667,0.0333,0.125,0.0667,0.087,14.0,,,40,5163
dag_10_nodes_15_edges_none_random,MPC-LLM,0.029522418975830078,9,0.0,0.6,0.0,0.3333,0.2,0.25,14.0,,,41,2406
dag_10_nodes_15_edges_none_random,MPC-LLM,0.015001535415649414,8,0.0,0.5333,0.0,0.25,0.1333,0.1739,13.0,,,42,304
dag_10_nodes_15_edges_none_random,MPC-LLM,0.028000354766845703,9,0.0,0.6,0.0,0.3333,0.2,0.25,14.0,,,43,3391
dag_10_nodes_15_edges_none_random,MPC-LLM,0.02000117301940918,7,0.0,0.4667,0.0,0.4286,0.2,0.2727,14.0,,,44,359
dag_10_nodes_15_edges_none_random,MPC-LLM,0.02700662612915039,10,0.0,0.6667,0.0,0.3,0.2,0.24,14.0,,,45,9096
dag_10_nodes_15_edges_none_random,MPC-LLM,0.02000117301940918,9,0.1111,0.5333,0.0333,0.4444,0.2667,0.3333,16.0,,,46,3533
dag_10_nodes_15_edges_none_random,MPC-LLM,0.015001773834228516,8,0.125,0.4667,0.0333,0.125,0.0667,0.087,14.0,,,47,4125
dag_10_nodes_15_edges_none_random,MPC-LLM,0.029520511627197266,11,0.0,0.7333,0.0,0.4545,0.3333,0.3846,14.0,,,48,3094
dag_10_nodes_15_edges_none_random,MPC-LLM,0.04298853874206543,8,0.0,0.5333,0.0,0.25,0.1333,0.1739,13.0,,,49,6398
