dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.0189971923828125,10,0.0,0.5882,0.0,0.4,0.2353,0.2963,16.0,,,0,7816
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.02599477767944336,12,0.0833,0.6471,0.0357,0.4167,0.2941,0.3448,17.0,,,1,3578
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.02251291275024414,11,0.0,0.6471,0.0,0.4545,0.2941,0.3571,17.0,,,2,2656
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.034525394439697266,14,0.0714,0.7647,0.0357,0.4286,0.3529,0.3871,17.0,,,3,2688
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.019001483917236328,11,0.0,0.6471,0.0,0.3636,0.2353,0.2857,16.0,,,4,2494
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.026739835739135742,10,0.0,0.5882,0.0,0.4,0.2353,0.2963,16.0,,,5,183
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.022516250610351562,10,0.0,0.5882,0.0,0.4,0.2353,0.2963,17.0,,,6,7977
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.018149375915527344,10,0.1,0.5294,0.0357,0.3,0.1765,0.2222,17.0,,,7,3199
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.024000167846679688,12,0.0,0.7059,0.0,0.4167,0.2941,0.3448,16.0,,,8,316
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.01799750328063965,10,0.0,0.5882,0.0,0.4,0.2353,0.2963,16.0,,,9,8266
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.02751302719116211,13,0.0,0.7647,0.0,0.3846,0.2941,0.3333,16.0,,,10,1532
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.017998456954956055,11,0.0,0.6471,0.0,0.4545,0.2941,0.3571,16.0,,,11,1009
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.03099679946899414,14,0.0714,0.7647,0.0357,0.3571,0.2941,0.3226,17.0,,,12,2250
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.0285031795501709,12,0.0,0.7059,0.0,0.5,0.3529,0.4138,16.0,,,13,4447
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.04551410675048828,14,0.0,0.8235,0.0,0.5,0.4118,0.4516,17.0,,,14,2415
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.02099776268005371,11,0.0,0.6471,0.0,0.4545,0.2941,0.3571,16.0,,,15,3595
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.021997928619384766,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,,,16,4187
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.014512062072753906,11,0.0,0.6471,0.0,0.3636,0.2353,0.2857,16.0,,,17,4135
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.018000364303588867,10,0.0,0.5882,0.0,0.5,0.2941,0.3704,16.0,,,18,5174
dag_10_nodes_15_edges_semantics_SF,MPC-LLM,0.03500008583068848,13,0.0,0.7647,0.0,0.5385,0.4118,0.4667,16.0,,,19,5303
