dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.020997285842895508,3,0.3333,0.1429,0.011,0.6667,0.1429,0.2353,13.0,,0,7816
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.016003847122192383,2,0.5,0.0714,0.011,0.5,0.0714,0.125,13.0,,1,3578
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.015996456146240234,5,0.0,0.3571,0.0,1.0,0.3571,0.5263,9.0,,2,2656
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.017000436782836914,3,0.0,0.2143,0.0,1.0,0.2143,0.3529,11.0,,3,2688
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.023998260498046875,9,0.7778,0.1429,0.0769,0.2222,0.1429,0.1739,12.0,,4,2494
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.024523496627807617,4,0.0,0.2857,0.0,1.0,0.2857,0.4444,10.0,,5,183
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.01700615882873535,2,0.0,0.1429,0.0,1.0,0.1429,0.25,12.0,,6,7977
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.015996456146240234,3,0.0,0.2143,0.0,1.0,0.2143,0.3529,11.0,,7,3199
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.022001981735229492,8,0.625,0.2143,0.0549,0.375,0.2143,0.2727,11.0,,8,316
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.018514633178710938,4,0.25,0.2143,0.011,0.75,0.2143,0.3333,11.0,,9,8266
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.024996519088745117,10,0.5,0.3571,0.0549,0.5,0.3571,0.4167,10.0,,10,1532
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.016995906829833984,6,0.1667,0.3571,0.011,0.8333,0.3571,0.5,9.0,,11,1009
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.0165255069732666,1,0.0,0.0714,0.0,1.0,0.0714,0.1333,13.0,,12,2250
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.015002012252807617,4,0.5,0.1429,0.022,0.5,0.1429,0.2222,13.0,,13,4447
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.01900458335876465,6,0.5,0.2143,0.033,0.5,0.2143,0.3,13.0,,14,2415
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.021193981170654297,4,0.25,0.2143,0.011,0.75,0.2143,0.3333,12.0,,15,3595
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.03945755958557129,16,0.6875,0.3571,0.1209,0.3125,0.3571,0.3333,13.0,,16,4187
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.02001023292541504,3,0.0,0.2143,0.0,1.0,0.2143,0.3529,11.0,,17,4135
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.016000032424926758,5,0.2,0.2857,0.011,0.8,0.2857,0.4211,11.0,,18,5174
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.02400374412536621,0,0.0,0.0,0.0,,0.0,,14.0,,19,5303
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.017517805099487305,1,0.0,0.0714,0.0,1.0,0.0714,0.1333,13.0,,20,3942
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.025010347366333008,4,0.0,0.2857,0.0,1.0,0.2857,0.4444,10.0,,21,2778
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.015999555587768555,2,0.0,0.1429,0.0,1.0,0.1429,0.25,12.0,,22,2804
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.018999814987182617,8,0.5,0.2857,0.044,0.5,0.2857,0.3636,10.0,,23,2145
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.01651597023010254,4,0.0,0.2857,0.0,1.0,0.2857,0.4444,10.0,,24,150
dag_15_nodes_15_edges_semantics_SF,MPC-LLM,0.01900005340576172,4,0.25,0.2143,0.011,0.75,0.2143,0.3333,12.0,,25,8823
