dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_15_edges_semantics_random,MPC-LLM,0.03151988983154297,5,0.4,0.2,0.0222,0.6,0.2,0.3,12.0,,0,7816
dag_15_nodes_15_edges_semantics_random,MPC-LLM,0.02100062370300293,6,0.0,0.4,0.0,1.0,0.4,0.5714,9.0,,1,3578
dag_15_nodes_15_edges_semantics_random,MPC-LLM,0.041029930114746094,12,0.4167,0.4667,0.0556,0.5833,0.4667,0.5185,8.0,,2,2656
dag_15_nodes_15_edges_semantics_random,MPC-LLM,0.02200007438659668,9,0.1111,0.5333,0.0111,0.8889,0.5333,0.6667,8.0,,3,2688
dag_15_nodes_15_edges_semantics_random,MPC-LLM,0.028514623641967773,2,0.0,0.1333,0.0,1.0,0.1333,0.2353,13.0,,4,2494
dag_15_nodes_15_edges_semantics_random,MPC-LLM,0.033007144927978516,12,0.3333,0.5333,0.0444,0.6667,0.5333,0.5926,8.0,,5,183
dag_15_nodes_15_edges_semantics_random,MPC-LLM,0.017000436782836914,2,0.0,0.1333,0.0,1.0,0.1333,0.2353,13.0,,6,7977
dag_15_nodes_15_edges_semantics_random,MPC-LLM,0.02100205421447754,3,0.6667,0.0667,0.0222,0.3333,0.0667,0.1111,14.0,,7,3199
dag_15_nodes_15_edges_semantics_random,MPC-LLM,0.03950834274291992,1,0.0,0.0667,0.0,1.0,0.0667,0.125,14.0,,8,316
dag_15_nodes_15_edges_semantics_random,MPC-LLM,0.026513099670410156,8,0.125,0.4667,0.0111,0.875,0.4667,0.6087,9.0,,9,8266
dag_15_nodes_15_edges_semantics_random,MPC-LLM,0.015000581741333008,1,0.0,0.0667,0.0,1.0,0.0667,0.125,14.0,,10,1532
dag_15_nodes_15_edges_semantics_random,MPC-LLM,0.01599907875061035,4,0.0,0.2667,0.0,1.0,0.2667,0.4211,11.0,,11,1009
dag_15_nodes_15_edges_semantics_random,MPC-LLM,0.01951289176940918,3,0.0,0.2,0.0,1.0,0.2,0.3333,12.0,,12,2250
