dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.03552126884460449,11,0.0,0.7857,0.0,0.3636,0.2857,0.32,13.0,,,0,7816
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.03352785110473633,11,0.0,0.7857,0.0,0.2727,0.2143,0.24,13.0,,,1,3578
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.02900099754333496,13,0.0769,0.8571,0.011,0.3077,0.2857,0.2963,14.0,,,2,2656
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.023005247116088867,10,0.0,0.7143,0.0,0.2,0.1429,0.1667,13.0,,,3,2688
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.03199625015258789,11,0.0,0.7857,0.0,0.3636,0.2857,0.32,13.0,,,4,2494
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.02200794219970703,9,0.0,0.6429,0.0,0.3333,0.2143,0.2609,14.0,,,5,183
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.025005578994750977,10,0.0,0.7143,0.0,0.4,0.2857,0.3333,13.0,,,6,7977
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.028998851776123047,11,0.0,0.7857,0.0,0.3636,0.2857,0.32,13.0,,,7,3199
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.016998767852783203,10,0.0,0.7143,0.0,0.4,0.2857,0.3333,14.0,,,8,316
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.025997400283813477,9,0.0,0.6429,0.0,0.4444,0.2857,0.3478,13.0,,,9,8266
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.03899741172790527,14,0.1429,0.8571,0.022,0.2857,0.2857,0.2857,15.0,,,10,1532
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.03299903869628906,13,0.0769,0.8571,0.011,0.3077,0.2857,0.2963,14.0,,,11,1009
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.021999835968017578,9,0.0,0.6429,0.0,0.3333,0.2143,0.2609,13.0,,,12,2250
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.025518417358398438,13,0.1538,0.7857,0.022,0.3077,0.2857,0.2963,16.0,,,13,4447
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.07151675224304199,14,0.0714,0.9286,0.011,0.2857,0.2857,0.2857,14.0,,,14,2415
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.02300429344177246,10,0.0,0.7143,0.0,0.3,0.2143,0.25,13.0,,,15,3595
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.04800105094909668,12,0.0,0.8571,0.0,0.25,0.2143,0.2308,13.0,,,16,4187
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.019999980926513672,10,0.1,0.6429,0.011,0.4,0.2857,0.3333,14.0,,,17,4135
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.02751016616821289,11,0.0,0.7857,0.0,0.2727,0.2143,0.24,13.0,,,18,5174
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.023008108139038086,10,0.1,0.6429,0.011,0.2,0.1429,0.1667,14.0,,,19,5303
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.027004480361938477,9,0.0,0.6429,0.0,0.3333,0.2143,0.2609,13.0,,,20,3942
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.018001079559326172,9,0.1111,0.5714,0.011,0.2222,0.1429,0.1739,14.0,,,21,2778
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.053153276443481445,12,0.0,0.8571,0.0,0.3333,0.2857,0.3077,13.0,,,22,2804
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.029523611068725586,10,0.1,0.6429,0.011,0.4,0.2857,0.3333,14.0,,,23,2145
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.06351923942565918,12,0.1667,0.7143,0.022,0.3333,0.2857,0.3077,16.0,,,24,150
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.04000687599182129,13,0.0,0.9286,0.0,0.3077,0.2857,0.2963,13.0,,,25,8823
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.019997835159301758,9,0.0,0.6429,0.0,0.3333,0.2143,0.2609,13.0,,,26,4669
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.041001081466674805,11,0.0,0.7857,0.0,0.2727,0.2143,0.24,13.0,,,27,6131
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.023001909255981445,8,0.0,0.5714,0.0,0.5,0.2857,0.3636,14.0,,,28,2617
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.031010866165161133,13,0.1538,0.7857,0.022,0.3077,0.2857,0.2963,15.0,,,29,7166
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.029513835906982422,13,0.0769,0.8571,0.011,0.2308,0.2143,0.2222,14.0,,,30,1428
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.021001338958740234,7,0.1429,0.4286,0.011,0.1429,0.0714,0.0952,14.0,,,31,8328
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.028996944427490234,11,0.0,0.7857,0.0,0.2727,0.2143,0.24,13.0,,,32,8289
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.028996706008911133,11,0.0,0.7857,0.0,0.2727,0.2143,0.24,13.0,,,33,5978
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.047514915466308594,12,0.0833,0.7857,0.011,0.25,0.2143,0.2308,14.0,,,34,5511
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.028516530990600586,11,0.0909,0.7143,0.011,0.2727,0.2143,0.24,14.0,,,35,5864
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.018006563186645508,8,0.125,0.5,0.011,0.25,0.1429,0.1818,14.0,,,36,606
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.019998550415039062,10,0.0,0.7143,0.0,0.3,0.2143,0.25,14.0,,,37,1933
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.02251887321472168,10,0.1,0.6429,0.011,0.4,0.2857,0.3333,14.0,,,38,6071
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.017000198364257812,9,0.0,0.6429,0.0,0.4444,0.2857,0.3478,13.0,,,39,5504
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.019004344940185547,8,0.0,0.5714,0.0,0.375,0.2143,0.2727,14.0,,,40,5163
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.048516035079956055,12,0.0,0.8571,0.0,0.25,0.2143,0.2308,13.0,,,41,2406
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.019001483917236328,8,0.0,0.5714,0.0,0.5,0.2857,0.3636,14.0,,,42,304
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.02699565887451172,10,0.1,0.6429,0.011,0.4,0.2857,0.3333,14.0,,,43,3391
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.021999597549438477,12,0.0833,0.7857,0.011,0.25,0.2143,0.2308,14.0,,,44,359
dag_15_nodes_22_edges_degrees_SF,MPC-LLM,0.03750896453857422,14,0.1429,0.8571,0.022,0.2857,0.2857,0.2857,15.0,,,45,9096
