dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_22_edges_none_SF,MPC-LLM,0.017000198364257812,2,0.0,0.1429,0.0,1.0,0.1429,0.25,12.0,,0,7816
dag_15_nodes_22_edges_none_SF,MPC-LLM,0.027107954025268555,0,0.0,0.0,0.0,,0.0,,14.0,,1,3578
dag_15_nodes_22_edges_none_SF,MPC-LLM,0.014993906021118164,2,0.5,0.0714,0.011,0.5,0.0714,0.125,14.0,,2,2656
dag_15_nodes_22_edges_none_SF,MPC-LLM,0.02300095558166504,0,0.0,0.0,0.0,,0.0,,14.0,,3,2688
dag_15_nodes_22_edges_none_SF,MPC-LLM,0.021000146865844727,7,0.5714,0.2143,0.044,0.4286,0.2143,0.2857,12.0,,4,2494
dag_15_nodes_22_edges_none_SF,MPC-LLM,0.02099919319152832,5,0.2,0.2857,0.011,0.8,0.2857,0.4211,10.0,,5,183
dag_15_nodes_22_edges_none_SF,MPC-LLM,0.03351092338562012,0,0.0,0.0,0.0,,0.0,,14.0,,6,7977
dag_15_nodes_22_edges_none_SF,MPC-LLM,0.023514270782470703,7,0.5714,0.2143,0.044,0.4286,0.2143,0.2857,12.0,,7,3199
dag_15_nodes_22_edges_none_SF,MPC-LLM,0.02300405502319336,0,0.0,0.0,0.0,,0.0,,14.0,,8,316
dag_15_nodes_22_edges_none_SF,MPC-LLM,0.04100203514099121,9,0.5556,0.2857,0.0549,0.4444,0.2857,0.3478,10.0,,9,8266
dag_15_nodes_22_edges_none_SF,MPC-LLM,0.021002769470214844,0,0.0,0.0,0.0,,0.0,,14.0,,10,1532
dag_15_nodes_22_edges_none_SF,MPC-LLM,0.016000032424926758,0,0.0,0.0,0.0,,0.0,,14.0,,11,1009
dag_15_nodes_22_edges_none_SF,MPC-LLM,0.014508724212646484,0,0.0,0.0,0.0,,0.0,,14.0,,12,2250
