dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.006504535675048828,6,0.1667,1.0,0.2,0.8333,1.0,0.9091,1.0,,0,7816
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.002997159957885742,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,,1,3578
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.0030007362365722656,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,,2,2656
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.0050051212310791016,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,,3,2688
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.004004001617431641,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,,4,2494
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.0050084590911865234,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,,5,183
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.003997802734375,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,,6,7977
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.0029969215393066406,1,0.0,0.2,0.0,1.0,0.2,0.3333,4.0,,7,3199
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.005041837692260742,5,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,8,316
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.004002571105957031,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,,9,8266
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.004001140594482422,4,0.25,0.6,0.2,0.75,0.6,0.6667,3.0,,10,1532
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.00499415397644043,5,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,11,1009
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.005999565124511719,5,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,12,2250
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.005002737045288086,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,,13,4447
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.00499725341796875,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,,14,2415
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.003002166748046875,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,,15,3595
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.0059964656829833984,5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,16,4187
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.0029990673065185547,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,,17,4135
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.0069980621337890625,5,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,18,5174
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.006999969482421875,6,0.1667,1.0,0.2,0.8333,1.0,0.9091,1.0,,19,5303
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.0029993057250976562,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,,20,3942
dag_5_nodes_5_edges_none_ER,MPC-LLM,0.004006624221801758,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,,21,2778
