dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004001140594482422,3,0.3333,0.4,0.2,0.6667,0.4,0.5,4.0,,0,7816
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004991769790649414,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,,1,3578
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0029969215393066406,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,,2,2656
dag_5_nodes_5_edges_none_random,MPC-LLM,0.005997180938720703,,,,,,,,,,3,2688
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0029981136322021484,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,,4,2494
dag_5_nodes_5_edges_none_random,MPC-LLM,0.00400090217590332,,,,,,,,,,5,183
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0029993057250976562,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,,6,7977
dag_5_nodes_5_edges_none_random,MPC-LLM,0.003999948501586914,3,0.3333,0.4,0.2,0.6667,0.4,0.5,3.0,,7,3199
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0049991607666015625,,,,,,,,,,8,316
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004000186920166016,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,,9,8266
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004999876022338867,,,,,,,,,,10,1532
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0049974918365478516,,,,,,,,,,11,1009
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0029954910278320312,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,,12,2250
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0040013790130615234,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,,13,4447
dag_5_nodes_5_edges_none_random,MPC-LLM,0.003000974655151367,2,0.5,0.2,0.2,0.5,0.2,0.2857,4.0,,14,2415
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004002571105957031,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,,15,3595
dag_5_nodes_5_edges_none_random,MPC-LLM,0.003999948501586914,3,0.3333,0.4,0.2,0.6667,0.4,0.5,3.0,,16,4187
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0025191307067871094,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,,17,4135
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004000186920166016,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,,18,5174
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0069980621337890625,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,,19,5303
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0029985904693603516,,,,,,,,,,20,3942
dag_5_nodes_5_edges_none_random,MPC-LLM,0.003999471664428711,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,,21,2778
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004519939422607422,4,0.25,0.6,0.2,0.75,0.6,0.6667,2.0,,22,2804
dag_5_nodes_5_edges_none_random,MPC-LLM,0.003004789352416992,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,,23,2145
dag_5_nodes_5_edges_none_random,MPC-LLM,0.00400090217590332,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,,24,150
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0039997100830078125,3,0.3333,0.4,0.2,0.6667,0.4,0.5,3.0,,25,8823
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004000186920166016,1,0.0,0.2,0.0,1.0,0.2,0.3333,4.0,,26,4669
dag_5_nodes_5_edges_none_random,MPC-LLM,0.002997159957885742,1,0.0,0.2,0.0,1.0,0.2,0.3333,4.0,,27,6131
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0049970149993896484,,,,,,,,,,28,2617
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0070018768310546875,5,0.4,0.6,0.4,0.6,0.6,0.6,2.0,,29,7166
dag_5_nodes_5_edges_none_random,MPC-LLM,0.00400090217590332,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,,30,1428
dag_5_nodes_5_edges_none_random,MPC-LLM,0.002000093460083008,1,0.0,0.2,0.0,1.0,0.2,0.3333,4.0,,31,8328
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0050013065338134766,,,,,,,,,,32,8289
dag_5_nodes_5_edges_none_random,MPC-LLM,0.006000041961669922,5,0.2,0.8,0.2,0.8,0.8,0.8,2.0,,33,5978
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004999876022338867,4,0.25,0.6,0.2,0.75,0.6,0.6667,2.0,,34,5511
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004998683929443359,3,0.3333,0.4,0.2,0.6667,0.4,0.5,3.0,,35,5864
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0049991607666015625,,,,,,,,,,36,606
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0040013790130615234,3,0.3333,0.4,0.2,0.6667,0.4,0.5,3.0,,37,1933
dag_5_nodes_5_edges_none_random,MPC-LLM,0.005000114440917969,2,0.5,0.2,0.2,0.5,0.2,0.2857,4.0,,38,6071
dag_5_nodes_5_edges_none_random,MPC-LLM,0.006000041961669922,4,0.25,0.6,0.2,0.75,0.6,0.6667,3.0,,39,5504
dag_5_nodes_5_edges_none_random,MPC-LLM,0.00499725341796875,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,,40,5163
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004998922348022461,4,0.25,0.6,0.2,0.75,0.6,0.6667,2.0,,41,2406
dag_5_nodes_5_edges_none_random,MPC-LLM,0.002000093460083008,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,,42,304
dag_5_nodes_5_edges_none_random,MPC-LLM,0.006510496139526367,,,,,,,,,,43,3391
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004000186920166016,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,,44,359
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0019991397857666016,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,,45,9096
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004999399185180664,,,,,,,,,,46,3533
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0039958953857421875,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,,47,4125
dag_5_nodes_5_edges_none_random,MPC-LLM,0.0049970149993896484,4,0.25,0.6,0.2,0.75,0.6,0.6667,2.0,,48,3094
dag_5_nodes_5_edges_none_random,MPC-LLM,0.004997730255126953,,,,,,,,,,49,6398
