dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.003004312515258789,4,0.0,0.5714,0.0,0.0,0.0,,3.0,,,0,7816
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.00700068473815918,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,1,3578
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.004998207092285156,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,2,2656
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.002996683120727539,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,3,2688
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.004998922348022461,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,4,2494
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.005010366439819336,6,0.0,0.8571,0.0,0.0,0.0,,1.0,,,5,183
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.0029952526092529297,4,0.0,0.5714,0.0,0.0,0.0,,3.0,,,6,7977
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.003999233245849609,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,7,3199
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.007999897003173828,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,8,316
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.0029969215393066406,3,0.0,0.4286,0.0,0.0,0.0,,4.0,,,9,8266
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.004996061325073242,5,0.0,0.7143,0.0,0.0,0.0,,2.0,,,10,1532
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.004000186920166016,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,11,1009
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.003997087478637695,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,12,2250
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.005998373031616211,7,0.0,1.0,0.0,0.1429,0.1429,0.1429,0.0,,,13,4447
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.00799703598022461,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,,,14,2415
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.00501561164855957,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,15,3595
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.003999233245849609,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,16,4187
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.007999181747436523,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,,,17,4135
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.0039882659912109375,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,18,5174
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.0029981136322021484,3,0.0,0.4286,0.0,0.3333,0.1429,0.2,4.0,,,19,5303
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.003999471664428711,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,20,3942
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.003998279571533203,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,21,2778
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.005998134613037109,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,,,22,2804
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.006999492645263672,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,,,23,2145
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.004997730255126953,5,0.0,0.7143,0.0,0.0,0.0,,2.0,,,24,150
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.005002021789550781,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,25,8823
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.0059969425201416016,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,,,26,4669
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.004998683929443359,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,27,6131
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.004997730255126953,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,28,2617
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.003998279571533203,5,0.0,0.7143,0.0,0.0,0.0,,2.0,,,29,7166
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.004995822906494141,5,0.2,0.5714,0.3333,0.0,0.0,,4.0,,,30,1428
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.005000591278076172,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,31,8328
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.005003452301025391,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,32,8289
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.0030002593994140625,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,33,5978
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.0060002803802490234,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,34,5511
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.003996372222900391,3,0.0,0.4286,0.0,0.0,0.0,,4.0,,,35,5864
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.0029985904693603516,3,0.0,0.4286,0.0,0.0,0.0,,4.0,,,36,606
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.004006624221801758,4,0.0,0.5714,0.0,0.0,0.0,,3.0,,,37,1933
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.003998279571533203,5,0.0,0.7143,0.0,0.0,0.0,,2.0,,,38,6071
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.0065152645111083984,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,39,5504
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.0039975643157958984,5,0.0,0.7143,0.0,0.0,0.0,,2.0,,,40,5163
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.0029990673065185547,4,0.0,0.5714,0.0,0.0,0.0,,3.0,,,41,2406
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.003999233245849609,5,0.0,0.7143,0.0,0.0,0.0,,2.0,,,42,304
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.004000186920166016,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,43,3391
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.003998279571533203,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,44,359
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.004998683929443359,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,45,9096
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.003996610641479492,3,0.0,0.4286,0.0,0.3333,0.1429,0.2,4.0,,,46,3533
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.0040073394775390625,3,0.0,0.4286,0.0,0.0,0.0,,4.0,,,47,4125
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.005999088287353516,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,48,3094
dag_5_nodes_7_edges_none_ER,MPC-LLM,0.006997108459472656,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,,,49,6398
