dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.004027843475341797,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,,,0,7816
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0029969215393066406,2,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,,,1,3578
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0020003318786621094,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,,,2,2656
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.002000093460083008,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,,,3,2688
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.002999544143676758,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,,,4,2494
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0029990673065185547,2,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,,,5,183
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.00299835205078125,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,,,6,7977
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0029938220977783203,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,,,7,3199
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0019991397857666016,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,,,8,316
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0029990673065185547,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,,,9,8266
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.002998828887939453,2,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,,,10,1532
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0019981861114501953,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,,,11,1009
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0030035972595214844,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,,,12,2250
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0039997100830078125,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,,,13,4447
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.003998517990112305,2,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,,,14,2415
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.001998424530029297,2,0.5,0.25,0.1667,0.0,0.0,,4.0,,,15,3595
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.002000570297241211,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,,,16,4187
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0029990673065185547,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,,,17,4135
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0029993057250976562,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,,,18,5174
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.006998777389526367,0,0.0,0.0,0.0,,0.0,,4.0,,,19,5303
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0030002593994140625,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,,,20,3942
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0030002593994140625,1,0.0,0.25,0.0,0.0,0.0,,3.0,,,21,2778
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.004000186920166016,3,0.0,0.75,0.0,1.0,0.75,0.8571,4.0,,,22,2804
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.001999378204345703,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,,,23,2145
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.004000425338745117,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,,,24,150
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0039997100830078125,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,,,25,8823
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.004999399185180664,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,,,26,4669
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.003998994827270508,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,,,27,6131
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0020008087158203125,2,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,,,28,2617
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0025124549865722656,1,0.0,0.25,0.0,0.0,0.0,,3.0,,,29,7166
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0050046443939208984,4,0.0,1.0,0.0,0.75,0.75,0.75,3.0,,,30,1428
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0029985904693603516,3,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,,,31,8328
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0030012130737304688,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,,,32,8289
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.003998279571533203,3,0.0,0.75,0.0,1.0,0.75,0.8571,4.0,,,33,5978
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.002999544143676758,2,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,,,34,5511
dag_5_nodes_7_edges_none_SF,MPC-LLM,0.0020046234130859375,1,0.0,0.25,0.0,0.0,0.0,,3.0,,,35,5864
