dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.0029997825622558594,2,0.0,0.2857,0.0,1.0,0.2857,0.4444,5.0,,0,7816
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.0029985904693603516,3,0.3333,0.2857,0.3333,0.6667,0.2857,0.4,5.0,,1,3578
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.00400090217590332,4,0.25,0.4286,0.3333,0.75,0.4286,0.5455,4.0,,2,2656
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.008997917175292969,8,0.25,0.8571,0.6667,0.75,0.8571,0.8,2.0,,3,2688
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.006000518798828125,6,0.1667,0.7143,0.3333,0.8333,0.7143,0.7692,2.0,,4,2494
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.004000186920166016,3,0.0,0.4286,0.0,1.0,0.4286,0.6,4.0,,5,183
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.0050067901611328125,5,0.4,0.4286,0.6667,0.6,0.4286,0.5,4.0,,6,7977
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.00499725341796875,5,0.2,0.5714,0.3333,0.8,0.5714,0.6667,3.0,,7,3199
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.004999876022338867,6,0.6667,0.2857,1.3333,0.3333,0.2857,0.3077,7.0,,8,316
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.00400090217590332,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,5.0,,9,8266
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.007005929946899414,,,,,,,,,,10,1532
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.0039980411529541016,5,0.2,0.5714,0.3333,0.8,0.5714,0.6667,3.0,,11,1009
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.003999233245849609,3,0.3333,0.2857,0.3333,0.6667,0.2857,0.4,5.0,,12,2250
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.0050051212310791016,5,0.2,0.5714,0.3333,0.8,0.5714,0.6667,3.0,,13,4447
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.005999088287353516,5,0.2,0.5714,0.3333,0.8,0.5714,0.6667,3.0,,14,2415
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.004998683929443359,4,0.25,0.4286,0.3333,0.75,0.4286,0.5455,4.0,,15,3595
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.005999326705932617,6,0.3333,0.5714,0.6667,0.6667,0.5714,0.6154,4.0,,16,4187
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.003999948501586914,4,0.25,0.4286,0.3333,0.75,0.4286,0.5455,4.0,,17,4135
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.005003690719604492,6,0.1667,0.7143,0.3333,0.8333,0.7143,0.7692,2.0,,18,5174
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.00500035285949707,,,,,,,,,,19,5303
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.0069980621337890625,5,0.2,0.5714,0.3333,0.8,0.5714,0.6667,3.0,,20,3942
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.0039997100830078125,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,5.0,,21,2778
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.007002353668212891,6,0.3333,0.5714,0.6667,0.6667,0.5714,0.6154,4.0,,22,2804
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.00500035285949707,5,0.0,0.7143,0.0,1.0,0.7143,0.8333,2.0,,23,2145
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.004999637603759766,,,,,,,,,,24,150
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.004998683929443359,6,0.1667,0.7143,0.3333,0.8333,0.7143,0.7692,2.0,,25,8823
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.0059986114501953125,5,0.4,0.4286,0.6667,0.6,0.4286,0.5,5.0,,26,4669
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.009207010269165039,6,0.1667,0.7143,0.3333,0.8333,0.7143,0.7692,2.0,,27,6131
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.008998870849609375,,,,,,,,,,28,2617
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.0030007362365722656,3,0.3333,0.2857,0.3333,0.6667,0.2857,0.4,5.0,,29,7166
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.006997108459472656,6,0.1667,0.7143,0.3333,0.8333,0.7143,0.7692,2.0,,30,1428
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.006000995635986328,6,0.3333,0.5714,0.6667,0.6667,0.5714,0.6154,3.0,,31,8328
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.005998849868774414,6,0.3333,0.5714,0.6667,0.6667,0.5714,0.6154,4.0,,32,8289
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.004998683929443359,5,0.2,0.5714,0.3333,0.8,0.5714,0.6667,3.0,,33,5978
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.0059986114501953125,6,0.1667,0.7143,0.3333,0.8333,0.7143,0.7692,2.0,,34,5511
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.005999088287353516,7,0.2857,0.7143,0.6667,0.7143,0.7143,0.7143,3.0,,35,5864
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.007998466491699219,6,0.1667,0.7143,0.3333,0.8333,0.7143,0.7692,2.0,,36,606
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.004998683929443359,4,0.25,0.4286,0.3333,0.75,0.4286,0.5455,4.0,,37,1933
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.008001565933227539,6,0.1667,0.7143,0.3333,0.8333,0.7143,0.7692,2.0,,38,6071
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.006001472473144531,4,0.25,0.4286,0.3333,0.75,0.4286,0.5455,4.0,,39,5504
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.005995750427246094,6,0.1667,0.7143,0.3333,0.8333,0.7143,0.7692,2.0,,40,5163
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.007997751235961914,6,0.1667,0.7143,0.3333,0.8333,0.7143,0.7692,2.0,,41,2406
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.008001327514648438,6,0.3333,0.5714,0.6667,0.6667,0.5714,0.6154,3.0,,42,304
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.005999565124511719,3,0.3333,0.2857,0.3333,0.6667,0.2857,0.4,5.0,,43,3391
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.005999088287353516,5,0.0,0.7143,0.0,1.0,0.7143,0.8333,2.0,,44,359
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.005486965179443359,,,,,,,,,,45,9096
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.00600123405456543,6,0.1667,0.7143,0.3333,0.8333,0.7143,0.7692,2.0,,46,3533
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.006000041961669922,6,0.1667,0.7143,0.3333,0.8333,0.7143,0.7692,2.0,,47,4125
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.004998445510864258,5,0.2,0.5714,0.3333,0.8,0.5714,0.6667,3.0,,48,3094
dag_5_nodes_7_edges_semantics_ER,MPC-LLM,0.004997730255126953,,,,,,,,,,49,6398
