dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.008012056350708008,0,0.0,0.0,0.0,,0.0,,10.0,,0,7816
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.010998964309692383,0,0.0,0.0,0.0,,0.0,,10.0,,1,3578
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.0080108642578125,5,1.0,0.0,0.1429,0.0,0.0,,11.0,,2,2656
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.020999431610107422,4,0.75,0.1,0.0857,0.25,0.1,0.1429,10.0,,3,2688
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.008999109268188477,0,0.0,0.0,0.0,,0.0,,10.0,,4,2494
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.011998891830444336,0,0.0,0.0,0.0,,0.0,,10.0,,5,183
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.008004426956176758,2,0.0,0.2,0.0,1.0,0.2,0.3333,8.0,,6,7977
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.00899958610534668,4,0.0,0.4,0.0,1.0,0.4,0.5714,6.0,,7,3199
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.013483285903930664,4,0.25,0.3,0.0286,0.75,0.3,0.4286,8.0,,8,316
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.01999831199645996,0,0.0,0.0,0.0,,0.0,,10.0,,9,8266
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.012015104293823242,0,0.0,0.0,0.0,,0.0,,10.0,,10,1532
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.008043766021728516,0,0.0,0.0,0.0,,0.0,,10.0,,11,1009
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.011005401611328125,0,0.0,0.0,0.0,,0.0,,10.0,,12,2250
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.012999773025512695,0,0.0,0.0,0.0,,0.0,,10.0,,13,4447
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.010003328323364258,5,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,,14,2415
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.011134147644042969,0,0.0,0.0,0.0,,0.0,,10.0,,15,3595
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.00901031494140625,0,0.0,0.0,0.0,,0.0,,10.0,,16,4187
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.010003089904785156,0,0.0,0.0,0.0,,0.0,,10.0,,17,4135
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.011724710464477539,3,0.3333,0.2,0.0286,0.6667,0.2,0.3077,8.0,,18,5174
dag_10_nodes_10_edges_degrees_ER,MPC-LLM,0.009070634841918945,0,0.0,0.0,0.0,,0.0,,10.0,,19,5303
