dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.020014286041259766,9,0.4444,0.5,0.2222,0.5556,0.5,0.5263,5.0,,0,7816
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.010998725891113281,1,0.0,0.1,0.0,1.0,0.1,0.1818,9.0,,1,3578
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.010004520416259766,7,0.2857,0.5,0.1111,0.7143,0.5,0.5882,5.0,,2,2656
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.008994579315185547,4,0.25,0.3,0.0556,0.75,0.3,0.4286,7.0,,3,2688
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.005994558334350586,0,0.0,0.0,0.0,,0.0,,10.0,,4,2494
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.012015581130981445,7,0.4286,0.4,0.1667,0.5714,0.4,0.4706,6.0,,5,183
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.015124797821044922,7,0.4286,0.4,0.1667,0.5714,0.4,0.4706,7.0,,6,7977
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.0070002079010009766,5,0.6,0.2,0.1667,0.4,0.2,0.2667,8.0,,7,3199
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.020987510681152344,,,,,,,,,,8,316
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.009733200073242188,5,0.6,0.2,0.1667,0.4,0.2,0.2667,8.0,,9,8266
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.010985136032104492,0,0.0,0.0,0.0,,0.0,,10.0,,10,1532
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.023286819458007812,10,0.5,0.5,0.2778,0.5,0.5,0.5,7.0,,11,1009
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.012996912002563477,0,0.0,0.0,0.0,,0.0,,10.0,,12,2250
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.009513378143310547,5,0.4,0.3,0.1111,0.6,0.3,0.4,7.0,,13,4447
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.010999679565429688,4,0.25,0.3,0.0556,0.75,0.3,0.4286,7.0,,14,2415
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.03081655502319336,8,0.5,0.4,0.2222,0.5,0.4,0.4444,8.0,,15,3595
dag_10_nodes_10_edges_none_ER,MPC-LLM,0.015000104904174805,7,0.4286,0.4,0.1667,0.5714,0.4,0.4706,7.0,,16,4187
