dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.006998538970947266,3,0.0,0.3333,0.0,0.0,0.0,,9.0,,,0,7816
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.006001472473144531,4,0.0,0.4444,0.0,0.25,0.1111,0.1538,8.0,,,1,3578
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.004997968673706055,2,0.0,0.2222,0.0,0.0,0.0,,9.0,,,2,2656
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.007992029190063477,5,0.0,0.5556,0.0,0.4,0.2222,0.2857,8.0,,,3,2688
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.007516384124755859,6,0.0,0.6667,0.0,0.1667,0.1111,0.1333,8.0,,,4,2494
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.006000995635986328,3,0.0,0.3333,0.0,0.3333,0.1111,0.1667,8.0,,,5,183
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.006999492645263672,4,0.0,0.4444,0.0,0.5,0.2222,0.3077,8.0,,,6,7977
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.006258726119995117,3,0.0,0.3333,0.0,0.3333,0.1111,0.1667,8.0,,,7,3199
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.02383279800415039,9,0.1111,0.8889,0.0278,0.2222,0.2222,0.2222,9.0,,,8,316
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.0059967041015625,4,0.0,0.4444,0.0,0.0,0.0,,9.0,,,9,8266
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.008002281188964844,6,0.0,0.6667,0.0,0.1667,0.1111,0.1333,9.0,,,10,1532
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.010509252548217773,6,0.0,0.6667,0.0,0.1667,0.1111,0.1333,8.0,,,11,1009
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.008000850677490234,6,0.1667,0.5556,0.0278,0.3333,0.2222,0.2667,9.0,,,12,2250
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.0070056915283203125,4,0.5,0.2222,0.0556,0.0,0.0,,11.0,,,13,4447
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.007001161575317383,6,0.1667,0.5556,0.0278,0.3333,0.2222,0.2667,9.0,,,14,2415
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.006996631622314453,4,0.0,0.4444,0.0,0.25,0.1111,0.1538,8.0,,,15,3595
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.01200103759765625,7,0.0,0.7778,0.0,0.2857,0.2222,0.25,8.0,,,16,4187
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.00638270378112793,3,0.0,0.3333,0.0,0.3333,0.1111,0.1667,8.0,,,17,4135
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.005000591278076172,3,0.3333,0.2222,0.0278,0.0,0.0,,10.0,,,18,5174
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.006003141403198242,3,0.0,0.3333,0.0,0.3333,0.1111,0.1667,8.0,,,19,5303
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.0050013065338134766,2,0.0,0.2222,0.0,0.5,0.1111,0.1818,8.0,,,20,3942
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.006001472473144531,3,0.0,0.3333,0.0,0.6667,0.2222,0.3333,8.0,,,21,2778
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.009000301361083984,6,0.0,0.6667,0.0,0.3333,0.2222,0.2667,8.0,,,22,2804
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.009083986282348633,5,0.0,0.5556,0.0,0.2,0.1111,0.1429,8.0,,,23,2145
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.008998870849609375,5,0.0,0.5556,0.0,0.2,0.1111,0.1429,9.0,,,24,150
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.006000995635986328,4,0.0,0.4444,0.0,0.25,0.1111,0.1538,8.0,,,25,8823
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.006999015808105469,4,0.25,0.3333,0.0278,0.25,0.1111,0.1538,9.0,,,26,4669
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.007001399993896484,5,0.0,0.5556,0.0,0.2,0.1111,0.1429,8.0,,,27,6131
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.007001161575317383,5,0.0,0.5556,0.0,0.0,0.0,,9.0,,,28,2617
dag_10_nodes_10_edges_none_SF,MPC-LLM,0.0050008296966552734,1,0.0,0.1111,0.0,1.0,0.1111,0.2,8.0,,,29,7166
