dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.017999887466430664,8,0.375,0.3333,0.1,0.625,0.3333,0.4348,10.0,,0,7816
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.019764184951782227,6,0.1667,0.3333,0.0333,0.8333,0.3333,0.4762,10.0,,1,3578
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.030174732208251953,12,0.4167,0.4667,0.1667,0.5833,0.4667,0.5185,10.0,,2,2656
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.018999338150024414,8,0.25,0.4,0.0667,0.75,0.4,0.5217,9.0,,3,2688
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.028870344161987305,12,0.5,0.4,0.2,0.5,0.4,0.4444,10.0,,4,2494
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.02200007438659668,5,0.0,0.3333,0.0,1.0,0.3333,0.5,10.0,,5,183
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.013286828994750977,3,0.0,0.2,0.0,1.0,0.2,0.3333,12.0,,6,7977
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.02535867691040039,9,0.4444,0.3333,0.1333,0.5556,0.3333,0.4167,10.0,,7,3199
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.03140401840209961,10,0.2,0.5333,0.0667,0.8,0.5333,0.64,8.0,,8,316
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.02067852020263672,5,0.2,0.2667,0.0333,0.8,0.2667,0.4,11.0,,9,8266
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.01902604103088379,9,0.3333,0.4,0.1,0.6667,0.4,0.5,10.0,,10,1532
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.00899958610534668,4,0.0,0.2667,0.0,1.0,0.2667,0.4211,11.0,,11,1009
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.028006792068481445,12,0.5,0.4,0.2,0.5,0.4,0.4444,11.0,,12,2250
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.04600334167480469,12,0.5833,0.3333,0.2333,0.4167,0.3333,0.3704,14.0,,13,4447
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.02598738670349121,9,0.2222,0.4667,0.0667,0.7778,0.4667,0.5833,8.0,,14,2415
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.018606901168823242,8,0.5,0.2667,0.1333,0.5,0.2667,0.3478,11.0,,15,3595
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.019999265670776367,11,0.5455,0.3333,0.2,0.4545,0.3333,0.3846,12.0,,16,4187
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.02700066566467285,4,0.5,0.1333,0.0667,0.5,0.1333,0.2105,13.0,,17,4135
dag_10_nodes_15_edges_degrees_random,MPC-LLM,0.018110275268554688,9,0.3333,0.4,0.1,0.6667,0.4,0.5,9.0,,18,5174
