dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.012485742568969727,7,0.5714,0.1765,0.1429,0.4286,0.1765,0.25,14.0,,0,7816
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.025655746459960938,8,0.25,0.3529,0.0714,0.75,0.3529,0.48,11.0,,1,3578
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.011012792587280273,7,0.2857,0.2941,0.0714,0.7143,0.2941,0.4167,12.0,,2,2656
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.014002799987792969,9,0.6667,0.1765,0.2143,0.3333,0.1765,0.2308,15.0,,3,2688
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.01864767074584961,10,0.6,0.2353,0.2143,0.4,0.2353,0.2963,13.0,,4,2494
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.01300191879272461,2,0.0,0.1176,0.0,1.0,0.1176,0.2105,15.0,,5,183
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.015001535415649414,7,0.2857,0.2941,0.0714,0.7143,0.2941,0.4167,12.0,,6,7977
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.007998943328857422,0,0.0,0.0,0.0,,0.0,,17.0,,7,3199
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.027459383010864258,6,0.3333,0.2353,0.0714,0.6667,0.2353,0.3478,13.0,,8,316
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.015511035919189453,0,0.0,0.0,0.0,,0.0,,17.0,,9,8266
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.0350034236907959,12,0.1667,0.5882,0.0714,0.8333,0.5882,0.6897,7.0,,10,1532
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.04538083076477051,2,0.0,0.1176,0.0,1.0,0.1176,0.2105,15.0,,11,1009
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.013999700546264648,2,0.0,0.1176,0.0,1.0,0.1176,0.2105,15.0,,12,2250
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.010004281997680664,2,0.0,0.1176,0.0,1.0,0.1176,0.2105,15.0,,13,4447
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.017107486724853516,5,0.0,0.2941,0.0,1.0,0.2941,0.4545,12.0,,14,2415
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.01885819435119629,0,0.0,0.0,0.0,,0.0,,17.0,,15,3595
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.015973329544067383,7,0.0,0.4118,0.0,1.0,0.4118,0.5833,10.0,,16,4187
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.01999974250793457,0,0.0,0.0,0.0,,0.0,,17.0,,17,4135
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.010512351989746094,0,0.0,0.0,0.0,,0.0,,17.0,,18,5174
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.014532804489135742,0,0.0,0.0,0.0,,0.0,,17.0,,19,5303
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.022391319274902344,2,0.0,0.1176,0.0,1.0,0.1176,0.2105,15.0,,20,3942
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.0160064697265625,0,0.0,0.0,0.0,,0.0,,17.0,,21,2778
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.011001825332641602,2,1.0,0.0,0.0714,0.0,0.0,,17.0,,22,2804
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.017510414123535156,6,0.5,0.1765,0.1071,0.5,0.1765,0.2609,15.0,,23,2145
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.022997617721557617,10,0.2,0.4706,0.0714,0.8,0.4706,0.5926,9.0,,24,150
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.024587392807006836,6,0.3333,0.2353,0.0714,0.6667,0.2353,0.3478,13.0,,25,8823
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.01717352867126465,2,0.0,0.1176,0.0,1.0,0.1176,0.2105,15.0,,26,4669
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.018006086349487305,8,0.5,0.2353,0.1429,0.5,0.2353,0.32,13.0,,27,6131
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.028133630752563477,10,0.2,0.4706,0.0714,0.8,0.4706,0.5926,9.0,,28,2617
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.017998695373535156,7,0.2857,0.2941,0.0714,0.7143,0.2941,0.4167,13.0,,29,7166
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.02603912353515625,8,0.625,0.1765,0.1786,0.375,0.1765,0.24,14.0,,30,1428
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.01399993896484375,8,0.375,0.2941,0.1071,0.625,0.2941,0.4,12.0,,31,8328
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.008002758026123047,0,0.0,0.0,0.0,,0.0,,17.0,,32,8289
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.02651524543762207,9,0.7778,0.1176,0.25,0.2222,0.1176,0.1538,16.0,,33,5978
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.013593196868896484,0,0.0,0.0,0.0,,0.0,,17.0,,34,5511
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.021000385284423828,4,0.5,0.1176,0.0714,0.5,0.1176,0.1905,15.0,,35,5864
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.009002447128295898,0,0.0,0.0,0.0,,0.0,,17.0,,36,606
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.01900029182434082,4,0.25,0.1765,0.0357,0.75,0.1765,0.2857,14.0,,37,1933
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.022998571395874023,8,0.5,0.2353,0.1429,0.5,0.2353,0.32,13.0,,38,6071
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.024312496185302734,6,0.1667,0.2941,0.0357,0.8333,0.2941,0.4348,12.0,,39,5504
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.024011850357055664,8,0.125,0.4118,0.0357,0.875,0.4118,0.56,10.0,,40,5163
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.011000871658325195,0,0.0,0.0,0.0,,0.0,,17.0,,41,2406
dag_10_nodes_15_edges_none_SF,MPC-LLM,0.01300048828125,0,0.0,0.0,0.0,,0.0,,17.0,,42,304
