dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_15_edges_none_random,MPC-LLM,0.01999974250793457,9,0.0,0.6,0.0,0.4444,0.2667,0.3333,13.0,,,0,7816
dag_10_nodes_15_edges_none_random,MPC-LLM,0.025509119033813477,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,13.0,,,1,3578
dag_10_nodes_15_edges_none_random,MPC-LLM,0.010000467300415039,7,0.0,0.4667,0.0,0.2857,0.1333,0.1818,13.0,,,2,2656
dag_10_nodes_15_edges_none_random,MPC-LLM,0.017508506774902344,9,0.0,0.6,0.0,0.4444,0.2667,0.3333,13.0,,,3,2688
dag_10_nodes_15_edges_none_random,MPC-LLM,0.01999950408935547,9,0.0,0.6,0.0,0.4444,0.2667,0.3333,14.0,,,4,2494
dag_10_nodes_15_edges_none_random,MPC-LLM,0.018999814987182617,11,0.1818,0.6,0.0667,0.4545,0.3333,0.3846,16.0,,,5,183
dag_10_nodes_15_edges_none_random,MPC-LLM,0.01800823211669922,9,0.0,0.6,0.0,0.3333,0.2,0.25,13.0,,,6,7977
dag_10_nodes_15_edges_none_random,MPC-LLM,0.010618448257446289,6,0.0,0.4,0.0,0.1667,0.0667,0.0952,13.0,,,7,3199
dag_10_nodes_15_edges_none_random,MPC-LLM,0.03427863121032715,12,0.0,0.8,0.0,0.3333,0.2667,0.2963,13.0,,,8,316
dag_10_nodes_15_edges_none_random,MPC-LLM,0.009000301361083984,6,0.1667,0.3333,0.0333,0.3333,0.1333,0.1905,15.0,,,9,8266
dag_10_nodes_15_edges_none_random,MPC-LLM,0.01263427734375,8,0.0,0.5333,0.0,0.125,0.0667,0.087,13.0,,,10,1532
dag_10_nodes_15_edges_none_random,MPC-LLM,0.029999732971191406,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,13.0,,,11,1009
dag_10_nodes_15_edges_none_random,MPC-LLM,0.018646240234375,9,0.0,0.6,0.0,0.4444,0.2667,0.3333,15.0,,,12,2250
dag_10_nodes_15_edges_none_random,MPC-LLM,0.01453399658203125,8,0.0,0.5333,0.0,0.375,0.2,0.2609,13.0,,,13,4447
dag_10_nodes_15_edges_none_random,MPC-LLM,0.04000210762023926,13,0.0,0.8667,0.0,0.3846,0.3333,0.3571,13.0,,,14,2415
dag_10_nodes_15_edges_none_random,MPC-LLM,0.01699995994567871,9,0.1111,0.5333,0.0333,0.2222,0.1333,0.1667,15.0,,,15,3595
dag_10_nodes_15_edges_none_random,MPC-LLM,0.024513959884643555,11,0.0,0.7333,0.0,0.2727,0.2,0.2308,13.0,,,16,4187
dag_10_nodes_15_edges_none_random,MPC-LLM,0.018001079559326172,7,0.0,0.4667,0.0,0.2857,0.1333,0.1818,13.0,,,17,4135
dag_10_nodes_15_edges_none_random,MPC-LLM,0.012999773025512695,7,0.0,0.4667,0.0,0.2857,0.1333,0.1818,14.0,,,18,5174
dag_10_nodes_15_edges_none_random,MPC-LLM,0.010000467300415039,6,0.0,0.4,0.0,0.1667,0.0667,0.0952,13.0,,,19,5303
dag_10_nodes_15_edges_none_random,MPC-LLM,0.010999679565429688,7,0.0,0.4667,0.0,0.1429,0.0667,0.0909,13.0,,,20,3942
