dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_15_nodes_22_edges_none_ER,MPC-LLM,0.03754734992980957,15,0.0,0.6818,0.0,0.4667,0.3182,0.3784,19.0,,,0,7816
dag_15_nodes_22_edges_none_ER,MPC-LLM,0.03141188621520996,12,0.0,0.5455,0.0,0.5,0.2727,0.3529,20.0,,,1,3578
dag_15_nodes_22_edges_none_ER,MPC-LLM,0.024999380111694336,13,0.0,0.5909,0.0,0.4615,0.2727,0.3429,20.0,,,2,2656
dag_15_nodes_22_edges_none_ER,MPC-LLM,0.03999519348144531,15,0.0,0.6818,0.0,0.4,0.2727,0.3243,19.0,,,3,2688
dag_15_nodes_22_edges_none_ER,MPC-LLM,0.020812511444091797,13,0.0,0.5909,0.0,0.3846,0.2273,0.2857,19.0,,,4,2494
dag_15_nodes_22_edges_none_ER,MPC-LLM,0.02495741844177246,13,0.0769,0.5455,0.012,0.4615,0.2727,0.3429,23.0,,,5,183
dag_15_nodes_22_edges_none_ER,MPC-LLM,0.020006418228149414,12,0.0833,0.5,0.012,0.3333,0.1818,0.2353,21.0,,,6,7977
dag_15_nodes_22_edges_none_ER,MPC-LLM,0.026998519897460938,12,0.0,0.5455,0.0,0.5,0.2727,0.3529,19.0,,,7,3199
dag_15_nodes_22_edges_none_ER,MPC-LLM,0.02900838851928711,14,0.0,0.6364,0.0,0.5,0.3182,0.3889,19.0,,,8,316
dag_15_nodes_22_edges_none_ER,MPC-LLM,0.0467371940612793,13,0.0,0.5909,0.0,0.4615,0.2727,0.3429,20.0,,,9,8266
dag_15_nodes_22_edges_none_ER,MPC-LLM,0.027288436889648438,14,0.0,0.6364,0.0,0.2857,0.1818,0.2222,19.0,,,10,1532
dag_15_nodes_22_edges_none_ER,MPC-LLM,0.018297195434570312,11,0.0,0.5,0.0,0.6364,0.3182,0.4242,19.0,,,11,1009
dag_15_nodes_22_edges_none_ER,MPC-LLM,0.027143239974975586,12,0.0,0.5455,0.0,0.5833,0.3182,0.4118,19.0,,,12,2250
