dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.056258440017700195,18,0.0556,0.7727,0.012,0.6111,0.5,0.55,17.0,,,0,7816
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.04476118087768555,16,0.1875,0.5909,0.0361,0.625,0.4545,0.5263,22.0,,,1,3578
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.02386331558227539,14,0.1429,0.5455,0.0241,0.5,0.3182,0.3889,20.0,,,2,2656
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.04273343086242676,17,0.0588,0.7273,0.012,0.5882,0.4545,0.5128,17.0,,,3,2688
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.025901317596435547,13,0.0,0.5909,0.0,0.6923,0.4091,0.5143,17.0,,,4,2494
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.028997421264648438,14,0.0,0.6364,0.0,0.5714,0.3636,0.4444,17.0,,,5,183
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.05851554870605469,17,0.1765,0.6364,0.0361,0.5882,0.4545,0.5128,22.0,,,6,7977
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.04752063751220703,14,0.1429,0.5455,0.0241,0.5714,0.3636,0.4444,18.0,,,7,3199
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.04559826850891113,18,0.1111,0.7273,0.0241,0.5,0.4091,0.45,18.0,,,8,316
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.02507925033569336,12,0.0833,0.5,0.012,0.5833,0.3182,0.4118,19.0,,,9,8266
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.025993824005126953,16,0.1875,0.5909,0.0361,0.5,0.3636,0.4211,19.0,,,10,1532
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.05551004409790039,15,0.1333,0.5909,0.0241,0.4667,0.3182,0.3784,19.0,,,11,1009
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.040129899978637695,16,0.0625,0.6818,0.012,0.625,0.4545,0.5263,17.0,,,12,2250
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.03886246681213379,17,0.1176,0.6818,0.0241,0.5882,0.4545,0.5128,17.0,,,13,4447
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.03648805618286133,15,0.0667,0.6364,0.012,0.6,0.4091,0.4865,16.0,,,14,2415
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.03601527214050293,14,0.0,0.6364,0.0,0.5714,0.3636,0.4444,16.0,,,15,3595
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.03400254249572754,16,0.125,0.6364,0.0241,0.625,0.4545,0.5263,20.0,,,16,4187
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.08027267456054688,21,0.1429,0.8182,0.0361,0.619,0.5909,0.6047,19.0,,,17,4135
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.07746434211730957,17,0.1765,0.6364,0.0361,0.6471,0.5,0.5641,20.0,,,18,5174
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.05551338195800781,20,0.05,0.8636,0.012,0.65,0.5909,0.619,17.0,,,19,5303
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.05390739440917969,18,0.1111,0.7273,0.0241,0.5556,0.4545,0.5,19.0,,,20,3942
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.05199694633483887,18,0.0556,0.7727,0.012,0.5556,0.4545,0.5,17.0,,,21,2778
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.042224884033203125,17,0.0588,0.7273,0.012,0.6471,0.5,0.5641,18.0,,,22,2804
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.04800009727478027,17,0.0588,0.7273,0.012,0.5294,0.4091,0.4615,17.0,,,23,2145
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.052602529525756836,17,0.1176,0.6818,0.0241,0.6471,0.5,0.5641,19.0,,,24,150
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.04899764060974121,17,0.0588,0.7273,0.012,0.5882,0.4545,0.5128,17.0,,,25,8823
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.06836867332458496,20,0.05,0.8636,0.012,0.6,0.5455,0.5714,16.0,,,26,4669
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.02894282341003418,15,0.2,0.5455,0.0361,0.4667,0.3182,0.3784,21.0,,,27,6131
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.05299043655395508,17,0.0588,0.7273,0.012,0.5882,0.4545,0.5128,16.0,,,28,2617
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.035001516342163086,13,0.0769,0.5455,0.012,0.4615,0.2727,0.3429,17.0,,,29,7166
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.05099797248840332,18,0.2222,0.6364,0.0482,0.4444,0.3636,0.4,22.0,,,30,1428
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.05577588081359863,15,0.1333,0.5909,0.0241,0.4667,0.3182,0.3784,20.0,,,31,8328
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.0338129997253418,15,0.1333,0.5909,0.0241,0.4667,0.3182,0.3784,18.0,,,32,8289
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.03800606727600098,15,0.0,0.6818,0.0,0.6,0.4091,0.4865,16.0,,,33,5978
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.06490111351013184,19,0.2105,0.6818,0.0482,0.4737,0.4091,0.439,21.0,,,34,5511
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.041762590408325195,15,0.0667,0.6364,0.012,0.5333,0.3636,0.4324,16.0,,,35,5864
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.04651618003845215,19,0.0526,0.8182,0.012,0.5789,0.5,0.5366,17.0,,,36,606
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.036957502365112305,17,0.0588,0.7273,0.012,0.6471,0.5,0.5641,17.0,,,37,1933
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.10751509666442871,21,0.1905,0.7727,0.0482,0.5238,0.5,0.5116,20.0,,,38,6071
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.04199981689453125,16,0.1875,0.5909,0.0361,0.5,0.3636,0.4211,21.0,,,39,5504
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.036997079849243164,17,0.0588,0.7273,0.012,0.5294,0.4091,0.4615,18.0,,,40,5163
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.04669690132141113,16,0.0,0.7273,0.0,0.6875,0.5,0.5789,17.0,,,41,2406
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.027853012084960938,16,0.0,0.7273,0.0,0.75,0.5455,0.6316,17.0,,,42,304
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.0650033950805664,17,0.2353,0.5909,0.0482,0.5294,0.4091,0.4615,22.0,,,43,3391
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.024999141693115234,15,0.0667,0.6364,0.012,0.5333,0.3636,0.4324,17.0,,,44,359
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.02713751792907715,15,0.0,0.6818,0.0,0.6,0.4091,0.4865,18.0,,,45,9096
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.0781102180480957,21,0.1905,0.7727,0.0482,0.4762,0.4545,0.4651,20.0,,,46,3533
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.03604769706726074,14,0.2143,0.5,0.0361,0.4286,0.2727,0.3333,22.0,,,47,4125
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.08151102066040039,16,0.125,0.6364,0.0241,0.5,0.3636,0.4211,18.0,,,48,3094
dag_15_nodes_22_edges_semantics_ER,MPC-LLM,0.031522512435913086,14,0.0,0.6364,0.0,0.5714,0.3636,0.4444,17.0,,,49,6398
