dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.013514041900634766,10,0.1,0.6429,0.011,0.3,0.2143,0.25,10.0,,,0,7816
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.025622844696044922,12,0.1667,0.7143,0.022,0.4167,0.3571,0.3846,12.0,,,1,3578
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.019001245498657227,11,0.0,0.7857,0.0,0.3636,0.2857,0.32,10.0,,,2,2656
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.024343013763427734,11,0.0909,0.7143,0.011,0.4545,0.3571,0.4,12.0,,,3,2688
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.013902664184570312,9,0.0,0.6429,0.0,0.3333,0.2143,0.2609,9.0,,,4,2494
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015000581741333008,11,0.0,0.7857,0.0,0.3636,0.2857,0.32,9.0,,,5,183
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.019001245498657227,9,0.1111,0.5714,0.011,0.3333,0.2143,0.2609,12.0,,,6,7977
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.011006593704223633,5,0.2,0.2857,0.011,0.4,0.1429,0.2105,14.0,,,7,3199
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.01699972152709961,12,0.0833,0.7857,0.011,0.3333,0.2857,0.3077,9.0,,,8,316
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015510797500610352,10,0.0,0.7143,0.0,0.4,0.2857,0.3333,10.0,,,9,8266
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.014000177383422852,11,0.0,0.7857,0.0,0.2727,0.2143,0.24,8.0,,,10,1532
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.012997627258300781,7,0.0,0.5,0.0,0.1429,0.0714,0.0952,9.0,,,11,1009
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.027530908584594727,13,0.1538,0.7857,0.022,0.3077,0.2857,0.2963,12.0,,,12,2250
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.023000478744506836,12,0.0833,0.7857,0.011,0.25,0.2143,0.2308,10.0,,,13,4447
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.0260012149810791,13,0.1538,0.7857,0.022,0.2308,0.2143,0.2222,11.0,,,14,2415
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015000104904174805,8,0.375,0.3571,0.033,0.0,0.0,,12.0,,,15,3595
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.014737129211425781,11,0.0909,0.7143,0.011,0.2727,0.2143,0.24,9.0,,,16,4187
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.014809370040893555,9,0.0,0.6429,0.0,0.3333,0.2143,0.2609,9.0,,,17,4135
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.013507604598999023,10,0.2,0.5714,0.022,0.3,0.2143,0.25,11.0,,,18,5174
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.01992321014404297,10,0.0,0.7143,0.0,0.4,0.2857,0.3333,10.0,,,19,5303
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.02360391616821289,12,0.1667,0.7143,0.022,0.3333,0.2857,0.3077,12.0,,,20,3942
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.024512767791748047,14,0.2143,0.7857,0.033,0.2857,0.2857,0.2857,11.0,,,21,2778
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.018338441848754883,12,0.0,0.8571,0.0,0.4167,0.3571,0.3846,9.0,,,22,2804
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.018426179885864258,12,0.25,0.6429,0.033,0.25,0.2143,0.2308,12.0,,,23,2145
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.01299905776977539,8,0.25,0.4286,0.022,0.25,0.1429,0.1818,12.0,,,24,150
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.017124176025390625,11,0.0909,0.7143,0.011,0.4545,0.3571,0.4,10.0,,,25,8823
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015000581741333008,10,0.0,0.7143,0.0,0.3,0.2143,0.25,9.0,,,26,4669
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015508890151977539,10,0.1,0.6429,0.011,0.2,0.1429,0.1667,11.0,,,27,6131
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.0280001163482666,14,0.2857,0.7143,0.044,0.2143,0.2143,0.2143,15.0,,,28,2617
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.017000436782836914,12,0.0833,0.7857,0.011,0.25,0.2143,0.2308,9.0,,,29,7166
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.02051377296447754,11,0.0909,0.7143,0.011,0.2727,0.2143,0.24,11.0,,,30,1428
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.011999368667602539,8,0.125,0.5,0.011,0.375,0.2143,0.2727,13.0,,,31,8328
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.021001815795898438,13,0.0,0.9286,0.0,0.3077,0.2857,0.2963,8.0,,,32,8289
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.017536640167236328,12,0.0833,0.7857,0.011,0.3333,0.2857,0.3077,10.0,,,33,5978
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.014000415802001953,9,0.1111,0.5714,0.011,0.3333,0.2143,0.2609,11.0,,,34,5511
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.01400136947631836,8,0.25,0.4286,0.022,0.25,0.1429,0.1818,13.0,,,35,5864
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.03467154502868652,14,0.0714,0.9286,0.011,0.3571,0.3571,0.3571,10.0,,,36,606
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.017261505126953125,12,0.0833,0.7857,0.011,0.3333,0.2857,0.3077,10.0,,,37,1933
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.018998146057128906,13,0.1538,0.7857,0.022,0.3077,0.2857,0.2963,11.0,,,38,6071
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.012999773025512695,10,0.1,0.6429,0.011,0.3,0.2143,0.25,10.0,,,39,5504
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.020004749298095703,11,0.0,0.7857,0.0,0.4545,0.3571,0.4,9.0,,,40,5163
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015998363494873047,10,0.2,0.5714,0.022,0.3,0.2143,0.25,12.0,,,41,2406
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.016999244689941406,11,0.0909,0.7143,0.011,0.3636,0.2857,0.32,10.0,,,42,304
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.018004179000854492,11,0.0909,0.7143,0.011,0.2727,0.2143,0.24,11.0,,,43,3391
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015361547470092773,11,0.0,0.7857,0.0,0.3636,0.2857,0.32,8.0,,,44,359
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.01735067367553711,9,0.0,0.6429,0.0,0.4444,0.2857,0.3478,11.0,,,45,9096
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.01500248908996582,10,0.0,0.7143,0.0,0.3,0.2143,0.25,9.0,,,46,3533
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.013997793197631836,10,0.0,0.7143,0.0,0.4,0.2857,0.3333,9.0,,,47,4125
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.013513803482055664,10,0.2,0.5714,0.022,0.2,0.1429,0.1667,11.0,,,48,3094
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.020000219345092773,13,0.1538,0.7857,0.022,0.3077,0.2857,0.2963,11.0,,,49,6398
