dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.013514041900634766,0,0.0,0.0,0.0,,0.0,,14.0,,0,7816
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.025622844696044922,0,0.0,0.0,0.0,,0.0,,14.0,,1,3578
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.019001245498657227,0,0.0,0.0,0.0,,0.0,,14.0,,2,2656
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.024343013763427734,2,0.5,0.0714,0.011,0.5,0.0714,0.125,13.0,,3,2688
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.013902664184570312,0,0.0,0.0,0.0,,0.0,,14.0,,4,2494
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015000581741333008,0,0.0,0.0,0.0,,0.0,,14.0,,5,183
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.019001245498657227,0,0.0,0.0,0.0,,0.0,,14.0,,6,7977
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.011006593704223633,0,0.0,0.0,0.0,,0.0,,14.0,,7,3199
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.01699972152709961,0,0.0,0.0,0.0,,0.0,,14.0,,8,316
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015510797500610352,0,0.0,0.0,0.0,,0.0,,14.0,,9,8266
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.014000177383422852,0,0.0,0.0,0.0,,0.0,,14.0,,10,1532
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.012997627258300781,0,0.0,0.0,0.0,,0.0,,14.0,,11,1009
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.027530908584594727,8,0.75,0.1429,0.0659,0.25,0.1429,0.1818,13.0,,12,2250
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.023000478744506836,9,0.4444,0.3571,0.044,0.5556,0.3571,0.4348,10.0,,13,4447
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.0260012149810791,13,0.7692,0.2143,0.1099,0.2308,0.2143,0.2222,13.0,,14,2415
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015000104904174805,0,0.0,0.0,0.0,,0.0,,14.0,,15,3595
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.014737129211425781,0,0.0,0.0,0.0,,0.0,,14.0,,16,4187
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.014809370040893555,0,0.0,0.0,0.0,,0.0,,14.0,,17,4135
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.013507604598999023,2,0.0,0.1429,0.0,1.0,0.1429,0.25,12.0,,18,5174
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.01992321014404297,8,0.5,0.2857,0.044,0.5,0.2857,0.3636,10.0,,19,5303
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.02360391616821289,3,0.3333,0.1429,0.011,0.6667,0.1429,0.2353,12.0,,20,3942
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.024512767791748047,0,0.0,0.0,0.0,,0.0,,14.0,,21,2778
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.018338441848754883,0,0.0,0.0,0.0,,0.0,,14.0,,22,2804
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.018426179885864258,0,0.0,0.0,0.0,,0.0,,14.0,,23,2145
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.01299905776977539,0,0.0,0.0,0.0,,0.0,,14.0,,24,150
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.017124176025390625,2,0.5,0.0714,0.011,0.5,0.0714,0.125,13.0,,25,8823
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015000581741333008,3,0.0,0.2143,0.0,1.0,0.2143,0.3529,11.0,,26,4669
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015508890151977539,0,0.0,0.0,0.0,,0.0,,14.0,,27,6131
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.0280001163482666,0,0.0,0.0,0.0,,0.0,,14.0,,28,2617
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.017000436782836914,0,0.0,0.0,0.0,,0.0,,14.0,,29,7166
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.02051377296447754,0,0.0,0.0,0.0,,0.0,,14.0,,30,1428
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.011999368667602539,0,0.0,0.0,0.0,,0.0,,14.0,,31,8328
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.021001815795898438,6,0.3333,0.2857,0.022,0.6667,0.2857,0.4,10.0,,32,8289
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.017536640167236328,0,0.0,0.0,0.0,,0.0,,14.0,,33,5978
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.014000415802001953,2,0.5,0.0714,0.011,0.5,0.0714,0.125,13.0,,34,5511
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.01400136947631836,0,0.0,0.0,0.0,,0.0,,14.0,,35,5864
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.03467154502868652,9,0.5556,0.2857,0.0549,0.4444,0.2857,0.3478,11.0,,36,606
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.017261505126953125,0,0.0,0.0,0.0,,0.0,,14.0,,37,1933
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.018998146057128906,9,0.5556,0.2857,0.0549,0.4444,0.2857,0.3478,12.0,,38,6071
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.012999773025512695,0,0.0,0.0,0.0,,0.0,,14.0,,39,5504
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.020004749298095703,0,0.0,0.0,0.0,,0.0,,14.0,,40,5163
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015998363494873047,2,0.5,0.0714,0.011,0.5,0.0714,0.125,14.0,,41,2406
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.016999244689941406,0,0.0,0.0,0.0,,0.0,,14.0,,42,304
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.018004179000854492,5,0.4,0.2143,0.022,0.6,0.2143,0.3158,11.0,,43,3391
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.015361547470092773,0,0.0,0.0,0.0,,0.0,,14.0,,44,359
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.01735067367553711,0,0.0,0.0,0.0,,0.0,,14.0,,45,9096
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.01500248908996582,0,0.0,0.0,0.0,,0.0,,14.0,,46,3533
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.013997793197631836,0,0.0,0.0,0.0,,0.0,,14.0,,47,4125
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.013513803482055664,0,0.0,0.0,0.0,,0.0,,14.0,,48,3094
dag_15_nodes_22_edges_semantics_SF,MPC-LLM,0.020000219345092773,2,0.0,0.1429,0.0,1.0,0.1429,0.25,12.0,,49,6398
