dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.038980722427368164,,,,,,,,,,0,7816
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.034731388092041016,16,0.125,0.6364,0.0241,0.875,0.6364,0.7368,9.0,,1,3578
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.03200078010559082,14,0.4286,0.3636,0.0723,0.5714,0.3636,0.4444,14.0,,2,2656
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.018581867218017578,11,0.1818,0.4091,0.0241,0.8182,0.4091,0.5455,13.0,,3,2688
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.03400111198425293,14,0.1429,0.5455,0.0241,0.8571,0.5455,0.6667,11.0,,4,2494
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.044281005859375,13,0.3077,0.4091,0.0482,0.6923,0.4091,0.5143,14.0,,5,183
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.046520233154296875,,,,,,,,,,6,7977
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.02500128746032715,12,0.25,0.4091,0.0361,0.75,0.4091,0.5294,14.0,,7,3199
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.03599905967712402,14,0.0714,0.5909,0.012,0.9286,0.5909,0.7222,9.0,,8,316
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.040328264236450195,,,,,,,,,,9,8266
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.018511295318603516,10,0.1,0.4091,0.012,0.9,0.4091,0.5625,13.0,,10,1532
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.06353640556335449,12,0.3333,0.3636,0.0482,0.6667,0.3636,0.4706,15.0,,11,1009
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.032231807708740234,13,0.3077,0.4091,0.0482,0.6923,0.4091,0.5143,14.0,,12,2250
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.03851175308227539,15,0.1333,0.5909,0.0241,0.8667,0.5909,0.7027,10.0,,13,4447
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.021513700485229492,13,0.1538,0.5,0.0241,0.8462,0.5,0.6286,11.0,,14,2415
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.025132179260253906,,,,,,,,,,15,3595
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.023051023483276367,10,0.3,0.3182,0.0361,0.7,0.3182,0.4375,15.0,,16,4187
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.016033172607421875,10,0.1,0.4091,0.012,0.9,0.4091,0.5625,13.0,,17,4135
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.020722150802612305,10,0.4,0.2727,0.0482,0.6,0.2727,0.375,17.0,,18,5174
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.022429466247558594,12,0.1667,0.4545,0.0241,0.8333,0.4545,0.5882,13.0,,19,5303
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.04051041603088379,,,,,,,,,,20,3942
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.057524681091308594,,,,,,,,,,21,2778
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.024994850158691406,13,0.2308,0.4545,0.0361,0.7692,0.4545,0.5714,12.0,,22,2804
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.027991056442260742,15,0.2667,0.5,0.0482,0.7333,0.5,0.5946,12.0,,23,2145
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.03432202339172363,,,,,,,,,,24,150
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.01799798011779785,6,0.0,0.2727,0.0,1.0,0.2727,0.4286,16.0,,25,8823
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.16458415985107422,,,,,,,,,,26,4669
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.021999835968017578,,,,,,,,,,27,6131
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.01606607437133789,9,0.2222,0.3182,0.0241,0.7778,0.3182,0.4516,16.0,,28,2617
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.03901839256286621,15,0.2667,0.5,0.0482,0.7333,0.5,0.5946,13.0,,29,7166
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.02033400535583496,10,0.2,0.3636,0.0241,0.8,0.3636,0.5,14.0,,30,1428
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.023010730743408203,9,0.2222,0.3182,0.0241,0.7778,0.3182,0.4516,16.0,,31,8328
dag_15_nodes_22_edges_semantics_random,MPC-LLM,0.031000137329101562,12,0.1667,0.4545,0.0241,0.8333,0.4545,0.5882,12.0,,32,8289
