dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0032341480255126953,0,0.0,0.0,0.0,,0.0,,5.0,,0,7816
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0019989013671875,0,0.0,0.0,0.0,,0.0,,5.0,,1,3578
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0030002593994140625,0,0.0,0.0,0.0,,0.0,,5.0,,2,2656
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.004999399185180664,0,0.0,0.0,0.0,,0.0,,5.0,,3,2688
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0029990673065185547,0,0.0,0.0,0.0,,0.0,,5.0,,4,2494
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.00500178337097168,0,0.0,0.0,0.0,,0.0,,5.0,,5,183
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0029952526092529297,0,0.0,0.0,0.0,,0.0,,5.0,,6,7977
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.003000497817993164,0,0.0,0.0,0.0,,0.0,,5.0,,7,3199
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.002997875213623047,0,0.0,0.0,0.0,,0.0,,5.0,,8,316
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.003997087478637695,0,0.0,0.0,0.0,,0.0,,5.0,,9,8266
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.00299835205078125,0,0.0,0.0,0.0,,0.0,,5.0,,10,1532
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0030035972595214844,0,0.0,0.0,0.0,,0.0,,5.0,,11,1009
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0019996166229248047,0,0.0,0.0,0.0,,0.0,,5.0,,12,2250
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.002997159957885742,0,0.0,0.0,0.0,,0.0,,5.0,,13,4447
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0050008296966552734,4,0.5,0.4,0.4,0.5,0.4,0.4444,3.0,,14,2415
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.004002571105957031,0,0.0,0.0,0.0,,0.0,,5.0,,15,3595
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0029997825622558594,2,0.5,0.2,0.2,0.5,0.2,0.2857,4.0,,16,4187
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0029985904693603516,0,0.0,0.0,0.0,,0.0,,5.0,,17,4135
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0019996166229248047,0,0.0,0.0,0.0,,0.0,,5.0,,18,5174
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0029981136322021484,0,0.0,0.0,0.0,,0.0,,5.0,,19,5303
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.003000497817993164,0,0.0,0.0,0.0,,0.0,,5.0,,20,3942
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.00299835205078125,2,1.0,0.0,0.4,0.0,0.0,,5.0,,21,2778
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.004004716873168945,0,0.0,0.0,0.0,,0.0,,5.0,,22,2804
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.002998828887939453,0,0.0,0.0,0.0,,0.0,,5.0,,23,2145
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0020055770874023438,0,0.0,0.0,0.0,,0.0,,5.0,,24,150
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.003000020980834961,2,0.5,0.2,0.2,0.5,0.2,0.2857,4.0,,25,8823
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.002997159957885742,0,0.0,0.0,0.0,,0.0,,5.0,,26,4669
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.00299835205078125,0,0.0,0.0,0.0,,0.0,,5.0,,27,6131
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.003998517990112305,0,0.0,0.0,0.0,,0.0,,5.0,,28,2617
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.0030002593994140625,2,1.0,0.0,0.4,0.0,0.0,,5.0,,29,7166
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.002001523971557617,0,0.0,0.0,0.0,,0.0,,5.0,,30,1428
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.001996755599975586,0,0.0,0.0,0.0,,0.0,,5.0,,31,8328
dag_5_nodes_5_edges_semantics_ER,MPC-LLM,0.004996299743652344,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,,32,8289
