dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.006005525588989258,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,,,0,7816
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.0039980411529541016,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,4.0,,,1,3578
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004998683929443359,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,5.0,,,2,2656
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.005004405975341797,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,6.0,,,3,2688
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004997730255126953,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,5.0,,,4,2494
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.0050089359283447266,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,5.0,,,5,183
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.006005048751831055,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,5.0,,,6,7977
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004997730255126953,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,,,7,3199
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.005000114440917969,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,5.0,,,8,316
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.003999233245849609,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,5.0,,,9,8266
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.006000041961669922,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,5.0,,,10,1532
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.00600123405456543,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,5.0,,,11,1009
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.0029981136322021484,3,0.0,0.4286,0.0,0.6667,0.2857,0.4,5.0,,,12,2250
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004999637603759766,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,5.0,,,13,4447
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.003999233245849609,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,5.0,,,14,2415
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.00600433349609375,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,4.0,,,15,3595
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004999637603759766,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,5.0,,,16,4187
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.005999088287353516,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,4.0,,,17,4135
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.002998828887939453,3,0.0,0.4286,0.0,0.6667,0.2857,0.4,5.0,,,18,5174
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004999399185180664,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,4.0,,,19,5303
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.002997159957885742,2,0.0,0.2857,0.0,1.0,0.2857,0.4444,5.0,,,20,3942
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004988431930541992,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,5.0,,,21,2778
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.006516218185424805,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,,,22,2804
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.006000041961669922,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,,,23,2145
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.003994941711425781,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,4.0,,,24,150
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.0049970149993896484,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,5.0,,,25,8823
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.0030007362365722656,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,5.0,,,26,4669
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.005998849868774414,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,,,27,6131
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.003997087478637695,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,5.0,,,28,2617
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.003999233245849609,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,4.0,,,29,7166
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.0039975643157958984,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,4.0,,,30,1428
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004998922348022461,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,5.0,,,31,8328
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.002996683120727539,3,0.0,0.4286,0.0,0.6667,0.2857,0.4,5.0,,,32,8289
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.0030002593994140625,3,0.0,0.4286,0.0,0.3333,0.1429,0.2,6.0,,,33,5978
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.003996372222900391,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,5.0,,,34,5511
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.0045108795166015625,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,5.0,,,35,5864
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.005999565124511719,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,6.0,,,36,606
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.0049970149993896484,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,,,37,1933
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004000663757324219,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,5.0,,,38,6071
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.005998373031616211,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,4.0,,,39,5504
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004996776580810547,4,0.0,0.5714,0.0,0.0,0.0,,7.0,,,40,5163
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004997968673706055,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,,,41,2406
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004998683929443359,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,,,42,304
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.00600123405456543,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,4.0,,,43,3391
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.0030028820037841797,2,0.0,0.2857,0.0,1.0,0.2857,0.4444,5.0,,,44,359
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.003999233245849609,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,5.0,,,45,9096
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004999876022338867,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,5.0,,,46,3533
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.00400090217590332,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,6.0,,,47,4125
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.004996538162231445,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,4.0,,,48,3094
dag_5_nodes_7_edges_degrees_ER,MPC-LLM,0.0019996166229248047,3,0.0,0.4286,0.0,0.3333,0.1429,0.2,6.0,,,49,6398
