dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.003000497817993164,0,0.0,0.0,0.0,,0.0,,4.0,,0,7816
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0039980411529541016,0,0.0,0.0,0.0,,0.0,,4.0,,1,3578
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0029981136322021484,0,0.0,0.0,0.0,,0.0,,4.0,,2,2656
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0020020008087158203,0,0.0,0.0,0.0,,0.0,,4.0,,3,2688
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0029990673065185547,0,0.0,0.0,0.0,,0.0,,4.0,,4,2494
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0019979476928710938,0,0.0,0.0,0.0,,0.0,,4.0,,5,183
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.002000570297241211,0,0.0,0.0,0.0,,0.0,,4.0,,6,7977
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.003507375717163086,0,0.0,0.0,0.0,,0.0,,4.0,,7,3199
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.003995418548583984,0,0.0,0.0,0.0,,0.0,,4.0,,8,316
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0033311843872070312,0,0.0,0.0,0.0,,0.0,,4.0,,9,8266
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.004004716873168945,0,0.0,0.0,0.0,,0.0,,4.0,,10,1532
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0030007362365722656,0,0.0,0.0,0.0,,0.0,,4.0,,11,1009
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.002999544143676758,0,0.0,0.0,0.0,,0.0,,4.0,,12,2250
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.002998828887939453,0,0.0,0.0,0.0,,0.0,,4.0,,13,4447
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.004004955291748047,0,0.0,0.0,0.0,,0.0,,4.0,,14,2415
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.003999948501586914,0,0.0,0.0,0.0,,0.0,,4.0,,15,3595
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.004999876022338867,0,0.0,0.0,0.0,,0.0,,4.0,,16,4187
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.00299835205078125,0,0.0,0.0,0.0,,0.0,,4.0,,17,4135
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0029990673065185547,0,0.0,0.0,0.0,,0.0,,4.0,,18,5174
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0030024051666259766,0,0.0,0.0,0.0,,0.0,,4.0,,19,5303
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0029990673065185547,0,0.0,0.0,0.0,,0.0,,4.0,,20,3942
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.002004861831665039,0,0.0,0.0,0.0,,0.0,,4.0,,21,2778
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.003000974655151367,0,0.0,0.0,0.0,,0.0,,4.0,,22,2804
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0019991397857666016,0,0.0,0.0,0.0,,0.0,,4.0,,23,2145
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0019989013671875,0,0.0,0.0,0.0,,0.0,,4.0,,24,150
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0019998550415039062,0,0.0,0.0,0.0,,0.0,,4.0,,25,8823
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0020003318786621094,0,0.0,0.0,0.0,,0.0,,4.0,,26,4669
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0030012130737304688,0,0.0,0.0,0.0,,0.0,,4.0,,27,6131
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.003000020980834961,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,,28,2617
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.001999378204345703,0,0.0,0.0,0.0,,0.0,,4.0,,29,7166
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.001998424530029297,0,0.0,0.0,0.0,,0.0,,4.0,,30,1428
dag_5_nodes_7_edges_degrees_SF,MPC-LLM,0.0019948482513427734,0,0.0,0.0,0.0,,0.0,,4.0,,31,8328
