dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.008004188537597656,6,0.1667,0.7143,0.3333,0.3333,0.2857,0.3077,3.0,,,0,7816
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.005712032318115234,6,0.3333,0.5714,0.6667,0.1667,0.1429,0.1538,5.0,,,1,3578
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.005003690719604492,5,0.2,0.5714,0.3333,0.4,0.2857,0.3333,4.0,,,2,2656
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.006999015808105469,6,0.1667,0.7143,0.3333,0.5,0.4286,0.4615,3.0,,,3,2688
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.006995677947998047,6,0.1667,0.7143,0.3333,0.3333,0.2857,0.3077,3.0,,,4,2494
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.00499725341796875,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,3.0,,,5,183
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.003998517990112305,4,0.25,0.4286,0.3333,0.25,0.1429,0.1818,5.0,,,6,7977
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.003003835678100586,3,0.0,0.4286,0.0,0.3333,0.1429,0.2,4.0,,,7,3199
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.004996299743652344,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,2.0,,,8,316
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.0049991607666015625,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,2.0,,,9,8266
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.0060002803802490234,7,0.0,1.0,0.0,0.4286,0.4286,0.4286,0.0,,,10,1532
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.003998517990112305,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,3.0,,,11,1009
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.001997709274291992,3,0.0,0.4286,0.0,0.3333,0.1429,0.2,4.0,,,12,2250
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.0039997100830078125,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,13,4447
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.005001068115234375,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,3.0,,,14,2415
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.007001399993896484,5,0.0,0.7143,0.0,0.6,0.4286,0.5,2.0,,,15,3595
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.003002643585205078,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,16,4187
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.005998134613037109,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,2.0,,,17,4135
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.0059986114501953125,6,0.1667,0.7143,0.3333,0.3333,0.2857,0.3077,3.0,,,18,5174
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.003000497817993164,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,,,19,5303
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.005998134613037109,6,0.1667,0.7143,0.3333,0.1667,0.1429,0.1538,3.0,,,20,3942
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.006999969482421875,6,0.0,0.8571,0.0,0.5,0.4286,0.4615,1.0,,,21,2778
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.004999637603759766,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,1.0,,,22,2804
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.00599980354309082,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,3.0,,,23,2145
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.0050008296966552734,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,,,24,150
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.004000186920166016,5,0.0,0.7143,0.0,0.6,0.4286,0.5,2.0,,,25,8823
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.005999565124511719,6,0.1667,0.7143,0.3333,0.5,0.4286,0.4615,3.0,,,26,4669
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.0029997825622558594,3,0.0,0.4286,0.0,0.3333,0.1429,0.2,4.0,,,27,6131
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.0030045509338378906,3,0.0,0.4286,0.0,0.3333,0.1429,0.2,4.0,,,28,2617
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.006002664566040039,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,2.0,,,29,7166
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.00499725341796875,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,3.0,,,30,1428
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.005996227264404297,6,0.1667,0.7143,0.3333,0.3333,0.2857,0.3077,3.0,,,31,8328
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.002998828887939453,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,3.0,,,32,8289
dag_5_nodes_7_edges_semantics_random,MPC-LLM,0.004997968673706055,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,2.0,,,33,5978
