dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
child,ABAPC (Ours),29999.530403852463,172,0.8895,0.76,0.9273,0.0988,0.68,0.1726,162.0,91.0,192.0,0,7816
child,ABAPC (Ours),33894.944885253906,144,0.8542,0.84,0.7455,0.1111,0.64,0.1893,129.0,84.0,239.0,1,3578
child,ABAPC (Ours),28470.244191408157,138,0.8406,0.88,0.703,0.1232,0.68,0.2086,121.0,48.0,237.0,2,2656
child,ABAPC (Ours),25453.00243115425,154,0.8636,0.84,0.8061,0.1039,0.64,0.1788,141.0,58.0,155.0,3,2688
child,ABAPC (Ours),27808.633756637573,40,0.75,0.4,0.1818,0.2,0.32,0.2462,46.0,137.0,293.0,4,2494
child,ABAPC (Ours),26635.439029455185,133,0.8346,0.88,0.6727,0.1278,0.68,0.2152,121.0,49.0,255.0,5,183
child,ABAPC (Ours),30664.641979455948,112,0.8214,0.8,0.5576,0.1339,0.6,0.219,104.0,66.0,298.0,6,7977
child,ABAPC (Ours),31436.634380102158,145,0.8621,0.8,0.7576,0.1241,0.72,0.2118,132.0,35.0,175.0,7,3199
child,ABAPC (Ours),28259.023653030396,186,0.8925,0.8,1.0061,0.0699,0.52,0.1232,174.0,121.0,300.0,8,316
child,ABAPC (Ours),37974.07867693901,163,0.8589,0.92,0.8485,0.0982,0.64,0.1702,152.0,15.0,222.0,9,8266
