dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
child,ABAPC (Ours),34335.553804159164,125,0.904,0.48,0.6848,0.064,0.32,0.1067,0.144,0.72,0.24,0.032,0.4,0.0593,127.0,81.0,280.0,0,7816
child,ABAPC (Ours),25638.577906847,106,0.8774,0.52,0.5636,0.0755,0.32,0.1221,0.1981,0.84,0.3206,0.0189,0.2,0.0345,106.0,128.0,285.0,1,3578
child,ABAPC (Ours),28807.039703845978,145,0.8621,0.8,0.7576,0.0966,0.56,0.1647,0.1724,1.0,0.2941,0.0345,0.5,0.0645,132.0,66.0,290.0,2,2656
child,ABAPC (Ours),20321.116063594818,124,0.8629,0.68,0.6485,0.0968,0.48,0.1611,0.1855,0.92,0.3087,0.0242,0.3,0.0448,117.0,87.0,260.0,3,2688
child,ABAPC (Ours),35444.073576927185,157,0.8854,0.72,0.8424,0.0828,0.52,0.1429,0.1465,0.92,0.2527,0.0191,0.3,0.0359,150.0,39.0,245.0,4,2494
child,ABAPC (Ours),27018.383222341537,110,0.8,0.88,0.5333,0.1455,0.64,0.237,0.2182,0.96,0.3556,0.0636,0.7,0.1167,96.0,53.0,317.0,5,183
child,ABAPC (Ours),31897.808631181717,95,0.8105,0.72,0.4667,0.1474,0.56,0.2333,0.2526,0.96,0.4,0.0526,0.5,0.0952,88.0,106.0,321.0,6,7977
child,ABAPC (Ours),45169.92453503609,128,0.8359,0.84,0.6485,0.1406,0.72,0.2353,0.1875,0.96,0.3137,0.0469,0.6,0.087,119.0,36.0,208.0,7,3199
child,ABAPC (Ours),31927.772570848465,186,0.8871,0.84,1.0,0.0753,0.56,0.1327,0.1344,1.0,0.237,0.0215,0.4,0.0408,173.0,,,8,316
child,ABAPC (Ours),39342.92705273628,161,0.8696,0.84,0.8485,0.0932,0.6,0.1613,0.1491,0.96,0.2581,0.0248,0.4,0.0468,153.0,8.0,237.0,9,8266
