dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
child,ABAPC (Ours),18376.235968589783,159,0.9182,0.52,0.8848,0.0755,0.48,0.1304,0.1069,0.68,0.1848,0.0252,0.4,0.0473,159.0,65.0,221.0,0,7816
child,ABAPC (Ours),27035.660469532013,137,0.8686,0.72,0.7212,0.1022,0.56,0.1728,0.1825,1.0,0.3086,0.0438,0.6,0.0816,126.0,52.0,243.0,1,3578
child,ABAPC (Ours),27767.0095846653,122,0.8361,0.8,0.6182,0.1148,0.56,0.1905,0.2049,1.0,0.3401,0.0328,0.4,0.0606,113.0,41.0,311.0,2,2656
child,ABAPC (Ours),22586.184118270874,140,0.8429,0.88,0.7152,0.1286,0.72,0.2182,0.1786,1.0,0.303,0.0571,0.8,0.1067,129.0,46.0,196.0,3,2688
child,ABAPC (Ours),28823.088493347168,159,0.8742,0.8,0.8424,0.0943,0.6,0.163,0.1572,1.0,0.2717,0.0189,0.3,0.0355,147.0,32.0,250.0,4,2494
child,ABAPC (Ours),27057.321034908295,136,0.8309,0.92,0.6848,0.1544,0.84,0.2609,0.1838,1.0,0.3106,0.0735,1.0,0.137,119.0,24.0,222.0,5,183
child,ABAPC (Ours),31756.15709400177,127,0.8661,0.68,0.6667,0.1102,0.56,0.1842,0.189,0.96,0.3158,0.0551,0.7,0.1022,120.0,73.0,270.0,6,7977
child,ABAPC (Ours),33374.313096523285,141,0.8652,0.76,0.7394,0.1064,0.6,0.1807,0.1773,1.0,0.3012,0.0426,0.6,0.0795,125.0,102.0,216.0,7,3199
child,ABAPC (Ours),28352.30514907837,162,0.9198,0.52,0.903,0.0556,0.36,0.0963,0.1296,0.84,0.2246,0.0123,0.2,0.0233,160.0,154.0,278.0,8,316
child,ABAPC (Ours),329.08781933784485,122,0.8279,0.84,0.6121,0.123,0.6,0.2041,0.1967,0.96,0.3265,0.0328,0.4,0.0606,110.0,,,9,8266
