dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
child,ABAPC (Ours),92.50099682807922,25,0.12,0.88,0.0182,0.88,0.88,0.88,1.0,1.0,1.0,0.88,0.88,0.88,3.0,48.0,0,7816
child,ABAPC (Ours),89.33529996871948,25,0.08,0.92,0.0121,0.92,0.92,0.92,1.0,1.0,1.0,0.92,0.92,0.92,2.0,44.0,1,3578
child,ABAPC (Ours),75.20731401443481,17,0.4118,0.4,0.0424,0.5882,0.4,0.4762,1.0,0.68,0.8095,0.5882,0.4,0.4762,15.0,216.0,2,2656
child,ABAPC (Ours),99.3210334777832,25,0.12,0.88,0.0182,0.88,0.88,0.88,1.0,1.0,1.0,0.88,0.88,0.88,3.0,48.0,3,2688
child,ABAPC (Ours),100.46337842941284,25,0.12,0.88,0.0182,0.88,0.88,0.88,1.0,1.0,1.0,0.88,0.88,0.88,3.0,46.0,4,2494
child,ABAPC (Ours),72.16126942634583,24,0.2917,0.68,0.0424,0.7083,0.68,0.6939,1.0,0.96,0.9796,0.7083,0.68,0.6939,8.0,144.0,5,183
child,ABAPC (Ours),97.357577085495,25,0.12,0.88,0.0182,0.88,0.88,0.88,1.0,1.0,1.0,0.88,0.88,0.88,3.0,67.0,6,7977
child,ABAPC (Ours),75.5784866809845,20,0.35,0.52,0.0424,0.65,0.52,0.5778,1.0,0.8,0.8889,0.65,0.52,0.5778,12.0,170.0,7,3199
child,ABAPC (Ours),103.65055632591248,25,0.08,0.92,0.0121,0.92,0.92,0.92,1.0,1.0,1.0,0.92,0.92,0.92,2.0,42.0,8,316
child,ABAPC (Ours),97.76392555236816,25,0.08,0.92,0.0121,0.92,0.92,0.92,1.0,1.0,1.0,0.92,0.92,0.92,2.0,42.0,9,8266
