dataset,model,elapsed_mean,elapsed_std,nnz_mean,nnz_std,fdr_mean,fdr_std,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,shd_mean,shd_std,SID_low_mean,SID_low_std,SID_high_mean,SID_high_std,source_kind,graph_kind,n_nodes,filename_n_edges,n_edges,graph_type,graph_type_label,NSHD_mean,NSHD_std,SID_mean,SID_std,NSID_mean,NSID_std,NSID_low_mean,NSID_low_std,NSID_high_mean,NSID_high_std
dag_10_nodes_10_edges_degrees_ER,FGS,0.2,0.21,6.64,1.52,0.85,0.13,0.1,0.09,0.16,0.04,0.06,0.1,0.05,0.08,0.05,0.09,14.86,1.59,23.38,3.85,36.12,3.84,,cpdag,10,10,10,ER,ER,1.486,0.159,36.12,3.84,3.6119999999999997,0.384,2.338,0.385,3.6119999999999997,0.384
dag_10_nodes_10_edges_degrees_ER,NOTEARS-MLP,0.83,2.12,0.04,0.2,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.03,9.98,0.14,30.96,0.2,31.12,0.85,,cpdag,10,10,10,ER,ER,0.998,0.014000000000000002,31.12,0.85,3.112,0.08499999999999999,3.096,0.02,3.112,0.08499999999999999
dag_10_nodes_10_edges_degrees_ER,Random,0.0,0.0,27.68,10.14,0.86,0.07,0.43,0.26,0.67,0.23,0.11,0.06,0.31,0.2,0.16,0.09,29.26,6.84,19.68,9.93,33.92,7.4,,cpdag,10,10,10,ER,ER,2.926,0.6839999999999999,33.92,7.4,3.3920000000000003,0.74,1.968,0.993,3.3920000000000003,0.74
dag_10_nodes_10_edges_degrees_SF,FGS,0.16,0.01,4.24,1.44,0.8,0.16,0.09,0.07,0.1,0.04,0.08,0.13,0.04,0.06,0.05,0.08,12.04,1.48,15.1,3.88,21.48,3.88,,cpdag,10,10,9,SF,SF,1.3377777777777777,0.16444444444444445,21.48,3.88,2.3866666666666667,0.4311111111111111,1.6777777777777778,0.4311111111111111,2.3866666666666667,0.4311111111111111
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.81,0.31,0.1,0.3,0.0,0.0,0.01,0.03,0.0,0.0,0.04,0.2,0.0,0.02,0.01,0.04,8.9,0.3,13.9,0.3,14.24,0.74,,cpdag,10,10,9,SF,SF,0.9888888888888889,0.03333333333333333,14.24,0.74,1.5822222222222222,0.08222222222222222,1.5444444444444445,0.03333333333333333,1.5822222222222222,0.08222222222222222
dag_10_nodes_10_edges_degrees_SF,Random,0.0,0.0,27.68,10.14,0.87,0.06,0.43,0.27,0.66,0.23,0.11,0.05,0.34,0.21,0.16,0.08,29.52,7.81,13.78,8.35,38.64,21.08,,cpdag,10,10,9,SF,SF,3.28,0.8677777777777778,38.64,21.08,4.293333333333333,2.342222222222222,1.531111111111111,0.9277777777777777,4.293333333333333,2.342222222222222
dag_10_nodes_10_edges_degrees_random,FGS,0.17,0.02,6.64,1.43,0.86,0.12,0.1,0.08,0.16,0.04,0.06,0.07,0.04,0.05,0.05,0.06,15.18,1.44,26.68,5.5,38.38,7.14,,cpdag,10,10,10,random,LT,1.518,0.144,38.38,7.14,3.838,0.714,2.668,0.55,3.838,0.714
dag_10_nodes_10_edges_degrees_random,NOTEARS-MLP,0.79,0.35,0.06,0.24,0.0,0.0,0.01,0.02,0.0,0.0,0.06,0.24,0.01,0.02,0.01,0.04,9.94,0.24,22.94,0.24,23.18,0.72,,cpdag,10,10,10,random,LT,0.994,0.024,23.18,0.72,2.318,0.072,2.294,0.024,2.318,0.072
dag_10_nodes_10_edges_degrees_random,Random,0.0,0.0,27.68,10.14,0.83,0.06,0.46,0.24,0.66,0.24,0.12,0.06,0.32,0.15,0.17,0.07,29.26,8.18,19.64,9.34,48.0,16.08,,cpdag,10,10,10,random,LT,2.926,0.818,48.0,16.08,4.8,1.6079999999999999,1.964,0.9339999999999999,4.8,1.6079999999999999
dag_10_nodes_10_edges_none_ER,FGS,0.09,0.01,7.5,1.61,0.5,0.18,0.37,0.14,0.21,0.1,0.34,0.18,0.26,0.14,0.29,0.15,11.32,2.24,25.64,5.41,41.6,4.87,,cpdag,10,10,10,ER,ER,1.1320000000000001,0.22400000000000003,41.6,4.87,4.16,0.487,2.564,0.541,4.16,0.487
