dataset,model,elapsed_mean,elapsed_std,nnz_mean,nnz_std,fdr_mean,fdr_std,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,shd_mean,shd_std,SID_mean,SID_std,source_kind,graph_kind,n_nodes,filename_n_edges,n_edges,graph_type,graph_type_label,NSHD_mean,NSHD_std,SID_low_mean,SID_low_std,SID_high_mean,SID_high_std,NSID_mean,NSID_std,NSID_low_mean,NSID_low_std,NSID_high_mean,NSID_high_std
dag_10_nodes_10_edges_degrees_ER,FGS,0.2,0.21,6.64,1.52,0.94,0.1,0.04,0.07,0.18,0.04,0.06,0.1,0.04,0.07,0.05,0.08,14.94,1.54,35.04,4.04,,dag,10,10,10,ER,ER,1.494,0.154,35.04,4.04,35.04,4.04,3.504,0.404,3.504,0.404,3.504,0.404
dag_10_nodes_10_edges_degrees_ER,NOTEARS-MLP,0.83,2.12,0.04,0.2,0.04,0.2,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,31.12,0.85,,dag,10,10,10,ER,ER,1.0,0.0,31.12,0.85,31.12,0.85,3.112,0.08499999999999999,3.112,0.08499999999999999,3.112,0.08499999999999999
dag_10_nodes_10_edges_degrees_ER,Random,0.0,0.0,27.68,10.14,0.9,0.06,0.28,0.2,0.71,0.26,0.1,0.06,0.28,0.2,0.14,0.09,28.88,7.0,27.08,8.77,,dag,10,10,10,ER,ER,2.888,0.7,27.08,8.77,27.08,8.77,2.7079999999999997,0.877,2.7079999999999997,0.877,2.7079999999999997,0.877
dag_10_nodes_10_edges_degrees_SF,FGS,0.16,0.01,4.24,1.44,0.92,0.13,0.04,0.06,0.11,0.04,0.08,0.13,0.04,0.06,0.05,0.08,11.92,1.44,18.38,4.56,,dag,10,10,9,SF,SF,1.3244444444444445,0.16,18.38,4.56,18.38,4.56,2.042222222222222,0.5066666666666666,2.042222222222222,0.5066666666666666,2.042222222222222,0.5066666666666666
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.81,0.31,0.1,0.3,0.0,0.0,0.01,0.03,0.0,0.0,0.1,0.3,0.01,0.03,0.02,0.06,8.9,0.3,13.9,0.3,,dag,10,10,9,SF,SF,0.9888888888888889,0.03333333333333333,13.9,0.3,13.9,0.3,1.5444444444444445,0.03333333333333333,1.5444444444444445,0.03333333333333333,1.5444444444444445,0.03333333333333333
dag_10_nodes_10_edges_degrees_SF,Random,0.0,0.0,27.68,10.14,0.9,0.05,0.29,0.18,0.7,0.26,0.1,0.05,0.29,0.18,0.14,0.08,28.5,7.54,22.36,11.07,,dag,10,10,9,SF,SF,3.1666666666666665,0.8377777777777777,22.36,11.07,22.36,11.07,2.4844444444444442,1.23,2.4844444444444442,1.23,2.4844444444444442,1.23
dag_10_nodes_10_edges_degrees_random,FGS,0.17,0.02,6.64,1.43,0.94,0.07,0.04,0.05,0.18,0.04,0.06,0.07,0.04,0.05,0.05,0.06,14.82,1.51,33.76,6.91,,dag,10,10,10,random,LT,1.482,0.151,33.76,6.91,33.76,6.91,3.376,0.6910000000000001,3.376,0.6910000000000001,3.376,0.6910000000000001
dag_10_nodes_10_edges_degrees_random,NOTEARS-MLP,0.79,0.35,0.06,0.24,0.0,0.0,0.01,0.02,0.0,0.0,0.06,0.24,0.01,0.02,0.01,0.04,9.94,0.24,22.94,0.24,,dag,10,10,10,random,LT,0.994,0.024,22.94,0.24,22.94,0.24,2.294,0.024,2.294,0.024,2.294,0.024
dag_10_nodes_10_edges_degrees_random,Random,0.0,0.0,27.68,10.14,0.89,0.06,0.29,0.14,0.71,0.27,0.11,0.06,0.29,0.14,0.15,0.07,28.32,7.68,31.24,9.71,,dag,10,10,10,random,LT,2.832,0.768,31.24,9.71,31.24,9.71,3.1239999999999997,0.9710000000000001,3.1239999999999997,0.9710000000000001,3.1239999999999997,0.9710000000000001
dag_10_nodes_10_edges_none_ER,FGS,0.09,0.01,7.5,1.61,0.66,0.18,0.26,0.14,0.27,0.1,0.34,0.18,0.26,0.14,0.29,0.15,10.84,2.74,35.88,5.22,,dag,10,10,10,ER,ER,1.084,0.274,35.88,5.22,35.88,5.22,3.588,0.522,3.588,0.522,3.588,0.522
