nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,n_nodes,n_edges,model,seed,elapsed
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,ABAPC (Original),7816,0.17249345779418945
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),3578,0.04636120796203613
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,3,3,ABAPC (Original),2656,0.02155137062072754
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,ABAPC (Original),2688,0.12257003784179688
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),2494,0.03976941108703613
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),183,0.028990745544433594
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,ABAPC (Original),7977,0.04861736297607422
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,ABAPC (Original),3199,0.034277915954589844
1,0.0,0.3333,0.0,1.0,0.3333,0.5,2.0,3.0,3,3,ABAPC (Original),316,0.06113409996032715
1,1.0,0.0,1.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),8266,0.02600860595703125
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),1532,0.10077524185180664
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,3,3,ABAPC (Original),1009,0.02606344223022461
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),2250,0.03855776786804199
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),4447,0.02106451988220215
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),2415,0.01976180076599121
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),3595,0.03383040428161621
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),4187,0.025433063507080078
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,1.0,3,3,ABAPC (Original),4135,0.02676987648010254
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,ABAPC (Original),5174,0.024333953857421875
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,ABAPC (Original),5303,0.020020246505737305
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3,3,ABAPC (Original),3942,0.027028322219848633
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),2778,0.01992940902709961
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),2804,0.02982783317565918
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,2.0,3,3,ABAPC (Original),2145,0.024729013442993164
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,3,3,ABAPC (Original),150,0.01502370834350586
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,ABAPC (Original),8823,0.023719310760498047
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,ABAPC (Original),4669,0.04903554916381836
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,ABAPC (Original),6131,0.029007434844970703
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3,3,ABAPC (Original),2617,0.027303457260131836
1,1.0,0.0,1.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),7166,0.020288467407226562
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,ABAPC (Original),1428,0.021793842315673828
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,ABAPC (Original),8328,0.023701906204223633
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,3,3,ABAPC (Original),8289,0.012921810150146484
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,ABAPC (Original),5978,0.01813220977783203
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,ABAPC (Original),5511,0.021335124969482422
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,ABAPC (Original),5864,0.018481969833374023
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,3,3,ABAPC (Original),606,0.01745772361755371
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,2.0,3,3,ABAPC (Original),1933,0.020869970321655273
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3,3,ABAPC (Original),6071,0.024601459503173828
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,5.0,3,3,ABAPC (Original),5504,0.023426055908203125
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,ABAPC (Original),5163,0.020409345626831055
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,3,3,ABAPC (Original),2406,0.019404172897338867
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,ABAPC (Original),304,0.022464752197265625
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,3,3,ABAPC (Original),3391,0.01586437225341797
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,ABAPC (Original),359,0.018675565719604492
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3,3,ABAPC (Original),9096,0.017945051193237305
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,1.0,3,3,ABAPC (Original),3533,0.024319171905517578
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,ABAPC (Original),4125,0.025886058807373047
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,ABAPC (Original),3094,0.026238441467285156
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,ABAPC (Original),6398,0.025719404220581055
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,4.0,4,4,ABAPC (Original),7816,0.0869293212890625
4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4,4,ABAPC (Original),3578,0.08341050148010254
3,0.3333,0.5,0.5,0.6667,0.5,0.5714,2.0,4.0,4,4,ABAPC (Original),2656,0.03588390350341797
3,0.3333,0.5,0.5,0.6667,0.5,0.5714,2.0,5.0,4,4,ABAPC (Original),2688,0.04289674758911133
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,5.0,4,4,ABAPC (Original),2494,0.05288219451904297
4,0.5,0.5,1.0,0.5,0.5,0.5,2.0,6.0,4,4,ABAPC (Original),183,0.10735821723937988
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,5.0,4,4,ABAPC (Original),7977,0.0786752700805664
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,3.0,4,4,ABAPC (Original),3199,0.11824703216552734
2,1.0,0.0,1.0,0.0,0.0,,4.0,9.0,4,4,ABAPC (Original),316,0.030520915985107422
4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4,4,ABAPC (Original),8266,0.10156941413879395
4,0.5,0.5,1.0,0.5,0.5,0.5,2.0,6.0,4,4,ABAPC (Original),1532,0.1023108959197998
3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,1.0,4,4,ABAPC (Original),1009,0.028768301010131836
2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,3.0,4,4,ABAPC (Original),2250,0.01961064338684082
3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,3.0,4,4,ABAPC (Original),4447,0.025625944137573242
2,0.5,0.25,0.5,0.5,0.25,0.3333,3.0,5.0,4,4,ABAPC (Original),2415,0.03279900550842285
4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4,4,ABAPC (Original),3595,0.11161613464355469
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,3.0,4,4,ABAPC (Original),4187,0.06956028938293457
3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,1.0,4,4,ABAPC (Original),4135,0.07455039024353027
2,1.0,0.0,1.0,0.0,0.0,,4.0,11.0,4,4,ABAPC (Original),5174,0.01751399040222168
4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4,4,ABAPC (Original),5303,0.03615736961364746
4,0.5,0.5,1.0,0.5,0.5,0.5,2.0,7.0,4,4,ABAPC (Original),3942,0.07541251182556152
4,0.5,0.5,1.0,0.5,0.5,0.5,2.0,6.0,4,4,ABAPC (Original),2778,0.034811973571777344
4,0.75,0.25,1.5,0.25,0.25,0.25,3.0,11.0,4,4,ABAPC (Original),2804,0.08916187286376953
3,0.3333,0.5,0.5,0.6667,0.5,0.5714,2.0,4.0,4,4,ABAPC (Original),2145,0.05277132987976074
4,0.5,0.5,1.0,0.5,0.5,0.5,2.0,7.0,4,4,ABAPC (Original),150,0.07763314247131348
4,0.75,0.25,1.5,0.25,0.25,0.25,3.0,8.0,4,4,ABAPC (Original),8823,0.07956886291503906
4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4,4,ABAPC (Original),4669,0.10415220260620117
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,3.0,4,4,ABAPC (Original),6131,0.08806538581848145
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,6.0,4,4,ABAPC (Original),2617,0.07777190208435059
2,1.0,0.0,1.0,0.0,0.0,,4.0,9.0,4,4,ABAPC (Original),7166,0.020755290985107422
4,0.75,0.25,1.5,0.25,0.25,0.25,3.0,11.0,4,4,ABAPC (Original),1428,0.03744220733642578
3,0.3333,0.5,0.5,0.6667,0.5,0.5714,2.0,7.0,4,4,ABAPC (Original),8328,0.037779808044433594
2,0.5,0.25,0.5,0.5,0.25,0.3333,3.0,8.0,4,4,ABAPC (Original),8289,0.030686378479003906
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,5.0,4,4,ABAPC (Original),5978,0.06933379173278809
4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4,4,ABAPC (Original),5511,0.08930110931396484
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,5.0,4,4,ABAPC (Original),5864,0.07383203506469727
3,0.3333,0.5,0.5,0.6667,0.5,0.5714,2.0,5.0,4,4,ABAPC (Original),606,0.07616424560546875
4,1.0,0.0,2.0,0.0,0.0,,4.0,12.0,4,4,ABAPC (Original),1933,0.10130023956298828
2,0.5,0.25,0.5,0.5,0.25,0.3333,3.0,10.0,4,4,ABAPC (Original),6071,0.019410371780395508
4,0.5,0.5,1.0,0.5,0.5,0.5,2.0,9.0,4,4,ABAPC (Original),5504,0.06554937362670898
3,0.6667,0.25,1.0,0.3333,0.25,0.2857,3.0,8.0,4,4,ABAPC (Original),5163,0.029390335083007812
3,0.6667,0.25,1.0,0.3333,0.25,0.2857,3.0,9.0,4,4,ABAPC (Original),2406,0.05066180229187012
5,0.2,1.0,0.5,0.8,1.0,0.8889,1.0,0.0,4,4,ABAPC (Original),304,0.08304882049560547
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,4.0,4,4,ABAPC (Original),3391,0.06676197052001953
4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4,4,ABAPC (Original),359,0.10200190544128418
3,1.0,0.0,1.5,0.0,0.0,,4.0,12.0,4,4,ABAPC (Original),9096,0.053343772888183594
3,1.0,0.0,1.5,0.0,0.0,,4.0,12.0,4,4,ABAPC (Original),3533,0.028521299362182617
4,0.5,0.5,1.0,0.5,0.5,0.5,2.0,6.0,4,4,ABAPC (Original),4125,0.07399392127990723
4,0.5,0.5,1.0,0.5,0.5,0.5,2.0,9.0,4,4,ABAPC (Original),3094,0.06946396827697754
2,0.5,0.25,0.5,0.5,0.25,0.3333,3.0,8.0,4,4,ABAPC (Original),6398,0.02713632583618164
4,0.5,0.4,0.4,0.5,0.4,0.4444,3.0,8.0,5,5,ABAPC (Original),7816,0.05794858932495117
4,0.5,0.4,0.4,0.5,0.4,0.4444,3.0,11.0,5,5,ABAPC (Original),3578,0.5369625091552734
4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,4.0,5,5,ABAPC (Original),2656,0.38538312911987305
4,0.75,0.2,0.6,0.25,0.2,0.2222,4.0,15.0,5,5,ABAPC (Original),2688,0.28123927116394043
3,0.3333,0.4,0.2,0.6667,0.4,0.5,3.0,10.0,5,5,ABAPC (Original),2494,0.05430102348327637
5,0.6,0.4,0.6,0.4,0.4,0.4,3.0,14.0,5,5,ABAPC (Original),183,0.7540507316589355
3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,5,5,ABAPC (Original),7977,0.1057274341583252
