dataset,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
cancer,FGS,7816,0.6547715663909912,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,3578,0.13175582885742188,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,2656,0.1215822696685791,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,9.0,19.0
cancer,FGS,2688,0.12281394004821777,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,2494,0.10650420188903809,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,183,0.10778260231018066,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,9.0,19.0
cancer,FGS,7977,0.11434555053710938,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,3199,0.10698890686035156,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,9.0,19.0
cancer,FGS,316,0.10999798774719238,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,8266,0.10896134376525879,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,1532,0.10742473602294922,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,9.0,19.0
cancer,FGS,1009,0.10932755470275879,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,2250,0.11182856559753418,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,4447,0.1004490852355957,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,9.0,19.0
cancer,FGS,2415,0.1089012622833252,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,3595,0.10888266563415527,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,4187,0.10404849052429199,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,4135,0.10524845123291016,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,5174,0.10604715347290039,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,5303,0.10438036918640137,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,3942,0.10293960571289062,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,2778,0.10360908508300781,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,2804,0.10565662384033203,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,9.0,19.0
cancer,FGS,2145,0.10913848876953125,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,9.0,19.0
cancer,FGS,150,0.11025524139404297,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,8823,0.10853719711303711,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,4669,0.10355806350708008,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,FGS,6131,0.10123753547668457,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,9.0,19.0
