n_nodes,n_edges,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid
3,3,Random,7816,0.0006513595581054688,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0
3,3,Random,3578,0.00018548965454101562,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0
3,3,Random,2656,0.00017976760864257812,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0
3,3,Random,2688,0.0003681182861328125,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
3,3,Random,2494,0.00017189979553222656,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,183,0.00017952919006347656,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,7977,0.0001766681671142578,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
3,3,Random,3199,0.00016689300537109375,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,316,0.00018215179443359375,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,8266,0.0001819133758544922,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0
3,3,Random,1532,0.00016689300537109375,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,1009,0.00014638900756835938,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0
3,3,Random,2250,0.00015497207641601562,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0
3,3,Random,4447,0.00017714500427246094,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,2415,0.0001811981201171875,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,3595,0.00016570091247558594,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,4187,0.0001780986785888672,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,4135,0.0001761913299560547,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0
3,3,Random,5174,0.00015878677368164062,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0
3,3,Random,5303,0.00016045570373535156,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,3942,0.00016880035400390625,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0
3,3,Random,2778,0.00016736984252929688,3.0,1.0,0.0,3.0,0.0,0.0,,3.0,6.0
3,3,Random,2804,0.00018024444580078125,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0
3,3,Random,2145,0.0001723766326904297,3.0,1.0,0.0,3.0,0.0,0.0,,3.0,6.0
3,3,Random,150,0.0001773834228515625,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
3,3,Random,8823,0.00017523765563964844,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
3,3,Random,4669,0.00017881393432617188,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0
3,3,Random,6131,0.00015592575073242188,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,2617,0.00018095970153808594,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,7166,0.00016880035400390625,3.0,1.0,0.0,3.0,0.0,0.0,,3.0,6.0
3,3,Random,1428,0.00017571449279785156,3.0,1.0,0.0,3.0,0.0,0.0,,3.0,6.0
3,3,Random,8328,0.0001621246337890625,3.0,1.0,0.0,3.0,0.0,0.0,,3.0,6.0
3,3,Random,8289,0.00016927719116210938,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,5978,0.00017571449279785156,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0
3,3,Random,5511,0.00018334388732910156,3.0,1.0,0.0,3.0,0.0,0.0,,3.0,6.0
3,3,Random,5864,0.00017333030700683594,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,606,0.00016736984252929688,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0
3,3,Random,1933,0.00017142295837402344,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,6071,0.00018167495727539062,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0
3,3,Random,5504,0.0001537799835205078,3.0,1.0,0.0,3.0,0.0,0.0,,3.0,6.0
3,3,Random,5163,0.00016164779663085938,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0
3,3,Random,2406,0.00017976760864257812,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0
3,3,Random,304,0.00015544891357421875,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,3391,0.00017142295837402344,3.0,1.0,0.0,3.0,0.0,0.0,,3.0,6.0
3,3,Random,359,0.0001652240753173828,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
3,3,Random,9096,0.00017905235290527344,3.0,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0
3,3,Random,3533,0.00018215179443359375,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0
3,3,Random,4125,0.000171661376953125,3.0,1.0,0.0,3.0,0.0,0.0,,3.0,6.0
3,3,Random,3094,0.0001780986785888672,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
3,3,Random,6398,0.00014734268188476562,3.0,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0
3,3,MPC,7816,0.0026578903198242188,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,3578,0.0023016929626464844,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,2656,0.0022797584533691406,2.0,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0
3,3,MPC,2688,0.0023345947265625,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,2494,0.0022089481353759766,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,183,0.0022733211517333984,2.0,1.0,0.0,2.0,0.0,0.0,,3.0,6.0
3,3,MPC,7977,0.002173900604248047,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,3199,0.0022017955780029297,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,316,0.0016705989837646484,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,8266,0.002299785614013672,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,1532,0.002172231674194336,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,1009,0.002279043197631836,2.0,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0
3,3,MPC,2250,0.0021452903747558594,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,4447,0.0020928382873535156,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,2415,0.0021822452545166016,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,3595,0.0021860599517822266,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,4187,0.0022077560424804688,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,4135,0.0022568702697753906,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,5174,0.002146482467651367,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,5303,0.002172708511352539,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,3942,0.0021724700927734375,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,2778,0.0022318363189697266,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,2804,0.0022585391998291016,2.0,1.0,0.0,2.0,0.0,0.0,,3.0,6.0
3,3,MPC,2145,0.0021789073944091797,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,150,0.0022482872009277344,2.0,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0
3,3,MPC,8823,0.0022308826446533203,2.0,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0
3,3,MPC,4669,0.002167940139770508,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,6131,0.002162933349609375,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,2617,0.0020389556884765625,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,7166,0.0015285015106201172,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,1428,0.002227783203125,2.0,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0
3,3,MPC,8328,0.0021483898162841797,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,8289,0.0022041797637939453,2.0,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0
3,3,MPC,5978,0.0022063255310058594,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,5511,0.0021245479583740234,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,5864,0.002228975296020508,2.0,1.0,0.0,2.0,0.0,0.0,,3.0,6.0
3,3,MPC,606,0.002196073532104492,2.0,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0
3,3,MPC,1933,0.002154827117919922,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,6071,0.002082347869873047,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,5504,0.00215911865234375,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
3,3,MPC,5163,0.00215911865234375,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0
