nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,num_edges_est,best_model,best_I
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,7816,5,0.14286494255065918,1.1883695125579834,True,original,original,0.22507929801940918,0.04755759239196777,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",21.40203993242775
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,7816,5,0.14286494255065918,1.1883695125579834,True,original,refined_indep_facts,0.22507929801940918,0.02081775665283203,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",2.2937643369903196
7,0.7143,0.5,0.8333,0.2857,0.5,0.3636,5.0,9.0,cancer,7816,5,0.14286494255065918,1.1883695125579834,True,original,arrows_sum,0.22507929801940918,0.0011396408081054688,7,"frozenset({(0, 4), (4, 3), (0, 3), (2, 0), (2, 3), (1, 0), (1, 3)})",3.5004111052953495
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,7816,5,0.14286494255065918,1.1883695125579834,True,original,arrows_mean,0.22507929801940918,0.0016753673553466797,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",0.5014920026226325
2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,cancer,7816,5,0.14286494255065918,1.1883695125579834,True,refined_indep_facts,original,0.020083904266357422,0.01979231834411621,2,"frozenset({(1, 0), (3, 0)})",7.3418260321027375
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,7816,5,0.14286494255065918,1.1883695125579834,True,refined_indep_facts,refined_indep_facts,0.020083904266357422,0.008881807327270508,1,"frozenset({(3, 0)})",4.136659736851996
2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,cancer,7816,5,0.14286494255065918,1.1883695125579834,True,refined_indep_facts,arrows_sum,0.020083904266357422,0.0005958080291748047,2,"frozenset({(1, 0), (3, 0)})",1.0059682132615397
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,7816,5,0.14286494255065918,1.1883695125579834,True,refined_indep_facts,arrows_mean,0.020083904266357422,0.0005903244018554688,1,"frozenset({(2, 0)})",0.5029841826243366
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,3578,5,0.14286494255065918,1.2272119522094727,True,original,original,0.1950511932373047,0.010427474975585938,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",20.84698870684173
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,3578,5,0.14286494255065918,1.2272119522094727,True,original,refined_indep_facts,0.1950511932373047,0.0032541751861572266,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",2.3665809299192753
5,0.4,0.75,0.3333,0.6,0.75,0.6667,2.0,9.0,cancer,3578,5,0.14286494255065918,1.2272119522094727,True,original,arrows_sum,0.1950511932373047,0.0003116130828857422,5,"frozenset({(1, 2), (0, 4), (2, 0), (3, 0), (1, 0)})",2.5069373296336623
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,3578,5,0.14286494255065918,1.2272119522094727,True,original,arrows_mean,0.1950511932373047,0.0002827644348144531,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",0.5016415675535622
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,3578,5,0.14286494255065918,1.2272119522094727,True,refined_indep_facts,original,0.01984691619873047,0.017763376235961914,1,"frozenset({(3, 0)})",-2.516941037449935
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,3578,5,0.14286494255065918,1.2272119522094727,True,refined_indep_facts,refined_indep_facts,0.01984691619873047,0.008690357208251953,1,"frozenset({(3, 0)})",4.518028237333402
