nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,n_nodes,n_edges,seed,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,num_edges_est,best_model,best_I
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,7816,0.005568265914916992,0.013360738754272461,True,original,original,0.020941495895385742,0.006750345230102539,3,"frozenset({(0, 1), (0, 2), (2, 1)})",4.499999999432498
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,7816,0.005568265914916992,0.013360738754272461,True,original,refined_indep_facts,0.020941495895385742,0.0030591487884521484,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.0
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,7816,0.005568265914916992,0.013360738754272461,True,original,arrows_sum,0.020941495895385742,0.0004355907440185547,3,"frozenset({(0, 1), (0, 2), (2, 1)})",1.5
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,7816,0.005568265914916992,0.013360738754272461,True,original,arrows_mean,0.020941495895385742,0.0011227130889892578,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.5
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,7816,0.005568265914916992,0.013360738754272461,True,refined_indep_facts,original,0.008985042572021484,0.01752305030822754,3,"frozenset({(0, 1), (0, 2), (1, 2)})",4.499999999432498
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,5.0,3,3,7816,0.005568265914916992,0.013360738754272461,True,refined_indep_facts,refined_indep_facts,0.008985042572021484,0.01149439811706543,2,"frozenset({(1, 2), (2, 0)})",0.0
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,7816,0.005568265914916992,0.013360738754272461,True,refined_indep_facts,arrows_sum,0.008985042572021484,0.0019390583038330078,3,"frozenset({(0, 1), (0, 2), (1, 2)})",1.5
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,5.0,3,3,7816,0.005568265914916992,0.013360738754272461,True,refined_indep_facts,arrows_mean,0.008985042572021484,0.0012581348419189453,2,"frozenset({(1, 2), (2, 0)})",0.5
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,3578,0.005568265914916992,0.015370845794677734,True,original,original,0.018811941146850586,0.0011701583862304688,2,"frozenset({(0, 1), (2, 1)})",3.5040653517348526
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,3578,0.005568265914916992,0.015370845794677734,True,original,refined_indep_facts,0.018811941146850586,0.0007407665252685547,2,"frozenset({(0, 1), (2, 1)})",0.45530743456827033
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,3578,0.005568265914916992,0.015370845794677734,True,original,arrows_sum,0.018811941146850586,0.000194549560546875,2,"frozenset({(0, 1), (2, 1)})",0.9999954365101689
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,3578,0.005568265914916992,0.015370845794677734,True,original,arrows_mean,0.018811941146850586,0.00017976760864257812,2,"frozenset({(0, 1), (2, 1)})",0.49999771825508443
1,1.0,0.0,1.0,0.0,0.0,,3.0,6.0,3,3,3578,0.005568265914916992,0.015370845794677734,True,refined_indep_facts,original,0.008101463317871094,0.003736257553100586,1,"frozenset({(2, 1)})",1.250274913672118
1,1.0,0.0,1.0,0.0,0.0,,3.0,6.0,3,3,3578,0.005568265914916992,0.015370845794677734,True,refined_indep_facts,refined_indep_facts,0.008101463317871094,0.0029573440551757812,1,"frozenset({(0, 1)})",0.7883278351560915
1,0.0,0.3333,0.0,1.0,0.3333,0.5,2.0,2.0,3,3,3578,0.005568265914916992,0.015370845794677734,True,refined_indep_facts,arrows_sum,0.008101463317871094,0.00038361549377441406,1,"frozenset({(1, 0)})",0.5000014101959107
1,0.0,0.3333,0.0,1.0,0.3333,0.5,2.0,2.0,3,3,3578,0.005568265914916992,0.015370845794677734,True,refined_indep_facts,arrows_mean,0.008101463317871094,0.0003879070281982422,1,"frozenset({(1, 0)})",0.5000014101959107
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,2656,0.005568265914916992,0.015046834945678711,True,original,original,0.019753456115722656,0.0011563301086425781,2,"frozenset({(1, 0), (2, 0)})",4.243564655310345
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,2656,0.005568265914916992,0.015046834945678711,True,original,refined_indep_facts,0.019753456115722656,0.0007188320159912109,2,"frozenset({(1, 0), (2, 0)})",0.4102643630264436
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,2656,0.005568265914916992,0.015046834945678711,True,original,arrows_sum,0.019753456115722656,0.0001990795135498047,2,"frozenset({(1, 0), (2, 0)})",1.003696531432407
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,2656,0.005568265914916992,0.015046834945678711,True,original,arrows_mean,0.019753456115722656,0.00018215179443359375,2,"frozenset({(1, 0), (2, 0)})",0.5018482657162034
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,2656,0.005568265914916992,0.015046834945678711,True,refined_indep_facts,original,0.007636308670043945,0.0047760009765625,2,"frozenset({(1, 0), (2, 0)})",4.243564655310345
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,2656,0.005568265914916992,0.015046834945678711,True,refined_indep_facts,refined_indep_facts,0.007636308670043945,0.0033416748046875,2,"frozenset({(1, 0), (2, 0)})",0.4102643630264436
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,2656,0.005568265914916992,0.015046834945678711,True,refined_indep_facts,arrows_sum,0.007636308670043945,0.0004096031188964844,2,"frozenset({(1, 0), (2, 0)})",1.003696531432407
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,2656,0.005568265914916992,0.015046834945678711,True,refined_indep_facts,arrows_mean,0.007636308670043945,0.0004177093505859375,2,"frozenset({(1, 0), (2, 0)})",0.5018482657162034
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,original,original,0.01534414291381836,0.005053520202636719,3,"frozenset({(0, 1), (0, 2), (2, 1)})",4.5
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,original,refined_indep_facts,0.01534414291381836,0.0031931400299072266,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.0
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,original,arrows_sum,0.01534414291381836,0.00042557716369628906,3,"frozenset({(0, 1), (0, 2), (2, 1)})",1.5
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,original,arrows_mean,0.01534414291381836,0.00042700767517089844,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.5
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,refined_indep_facts,original,0.010235309600830078,0.018226146697998047,3,"frozenset({(0, 1), (0, 2), (1, 2)})",4.5
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,4.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,refined_indep_facts,refined_indep_facts,0.010235309600830078,0.012077569961547852,2,"frozenset({(1, 2), (2, 0)})",0.0
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,refined_indep_facts,arrows_sum,0.010235309600830078,0.0012068748474121094,3,"frozenset({(0, 1), (0, 2), (1, 2)})",1.5
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,4.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,refined_indep_facts,arrows_mean,0.010235309600830078,0.001726388931274414,2,"frozenset({(1, 2), (2, 0)})",0.5
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,original,original,0.014532089233398438,0.00521397590637207,3,"frozenset({(0, 1), (0, 2), (2, 1)})",4.5
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,original,refined_indep_facts,0.014532089233398438,0.0030231475830078125,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.0
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,original,arrows_sum,0.014532089233398438,0.0008642673492431641,3,"frozenset({(0, 1), (0, 2), (2, 1)})",1.5
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,original,arrows_mean,0.014532089233398438,0.00041103363037109375,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.5
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,refined_indep_facts,original,0.009748458862304688,0.017821788787841797,3,"frozenset({(0, 1), (0, 2), (1, 2)})",4.5
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,1.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,refined_indep_facts,refined_indep_facts,0.009748458862304688,0.011986017227172852,2,"frozenset({(1, 2), (2, 0)})",0.0
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,refined_indep_facts,arrows_sum,0.009748458862304688,0.0011889934539794922,3,"frozenset({(0, 1), (0, 2), (1, 2)})",1.5
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,1.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,refined_indep_facts,arrows_mean,0.009748458862304688,0.00118255615234375,2,"frozenset({(1, 2), (2, 0)})",0.5
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,183,0.005568265914916992,0.01336526870727539,True,original,original,0.015440702438354492,0.005173683166503906,3,"frozenset({(0, 1), (0, 2), (2, 1)})",4.4998715194696075
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,183,0.005568265914916992,0.01336526870727539,True,original,refined_indep_facts,0.015440702438354492,0.0030951499938964844,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.0
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,183,0.005568265914916992,0.01336526870727539,True,original,arrows_sum,0.015440702438354492,0.000438690185546875,3,"frozenset({(0, 1), (0, 2), (2, 1)})",1.5
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,183,0.005568265914916992,0.01336526870727539,True,original,arrows_mean,0.015440702438354492,0.00042700767517089844,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.5
