nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,7816,3,3,3,3,0,2,1,12,0.01430964469909668,0.0069386959075927734,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0024008750915527344,0.015278339385986328,4.499999999432498
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,3578,3,3,3,3,0,2,1,12,0.01430964469909668,0.008007049560546875,True,v2,original_ranking,2,"[(2, 1), (0, 1)]",0.002149343490600586,0.01439666748046875,3.3087613722226785
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,random_graphs_n3_e3,2656,3,3,3,3,0,2,1,12,0.01430964469909668,0.007749795913696289,True,v2,original_ranking,2,"[(2, 1), (0, 1)]",0.002148151397705078,0.01407170295715332,4.1479347582605905
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,2688,3,3,3,3,0,2,1,12,0.01430964469909668,0.006789207458496094,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.002008676528930664,0.013998031616210938,4.5
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,2494,3,3,3,3,0,2,1,12,0.01430964469909668,0.006815910339355469,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020186901092529297,0.013866424560546875,4.4999999806142075
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,183,3,3,3,3,0,2,1,12,0.01430964469909668,0.007736921310424805,True,v2,original_ranking,2,"[(2, 0), (1, 0)]",0.002144336700439453,0.014488935470581055,4.002821953979645
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,7977,3,3,3,3,0,2,1,12,0.01430964469909668,0.0069446563720703125,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.002039194107055664,0.014024972915649414,4.493649364467036
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,random_graphs_n3_e3,3199,3,3,3,3,0,2,1,12,0.01430964469909668,0.006840944290161133,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.002060413360595703,0.014122247695922852,4.476777073614453
1,1.0,0.0,1.0,0.0,0.0,,3.0,4.0,random_graphs_n3_e3,316,3,3,3,3,0,2,1,12,0.01430964469909668,0.007828474044799805,True,v2,original_ranking,1,"[(2, 0)]",0.001512289047241211,0.011870384216308594,2.3566238603292935
1,1.0,0.0,1.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,8266,3,3,3,3,0,2,1,12,0.01430964469909668,0.00786280632019043,False,v2,original_ranking,1,"[(1, 2)]",0.0015017986297607422,0.011860370635986328,2.0592444746597423
