,,meta,meta,meta,time,time,remove_n,remove_n,cpdag_F1,cpdag_F1,cpdag_shd,cpdag_shd,cpdag_sid_low,cpdag_sid_low,cpdag_sid_high,cpdag_sid_high,AP,AP,CIT_Precision,CIT_Precision,CIT_F1,CIT_F1
,,num_nodes,num_edges,repeats,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,impl,,,,,,,,,,,,,,,,,,,,,
dag_5_nodes_5_edges_degrees_ER,new,5,5,50,0.16429483834654093,0.03753902009741485,16.12,3.114416773126984,0.683124,0.1418702102454988,1.365,0.8499849938651378,5.05,3.6815175442433286,12.335,2.0326480667506868,0.9633990420750185,0.014935182201107932,0.9649915788010417,0.04684048078927641,0.8410177641388582,0.05470070453636475
dag_5_nodes_5_edges_degrees_ER,org,5,5,50,0.1663657752610743,0.04072187693017822,16.12,3.114416773126984,0.683124,0.1418702102454988,1.365,0.8499849938651378,5.05,3.6815175442433286,12.335,2.0326480667506868,0.9633990420750185,0.014935182201107932,0.9649915788010417,0.04684048078927641,0.8410177641388582,0.05470070453636475
dag_5_nodes_5_edges_degrees_SF,new,5,4,50,0.08341153631918133,0.024184775521087915,6.44,3.563763202468046,0.75,0.0,0.28,0.7010196655077312,0.7,1.7525491637693285,19.3,1.7525491637693282,0.993991298858812,0.006863931954852998,0.9882674424449583,0.03368363434613349,0.930740751119088,0.05724224016680524
dag_5_nodes_5_edges_degrees_SF,org,5,4,50,0.09161434154957533,0.026186052819224273,6.44,3.563763202468046,0.75,0.0,0.28,0.7010196655077312,0.7,1.7525491637693285,19.3,1.7525491637693282,0.993991298858812,0.006863931954852998,0.9882674424449583,0.03368363434613349,0.930740751119088,0.05724224016680524
dag_5_nodes_5_edges_degrees_random,new,5,5,50,0.053179970206692816,0.021983602385782126,3.0,4.361239292135356,0.5,0.0,2.0,0.0,4.0,0.0,8.0,0.0,0.9770436100107447,0.013131820815429086,0.9439654259252597,0.056993821676063455,0.8517892499356667,0.05515602397288524
dag_5_nodes_5_edges_degrees_random,org,5,5,50,0.05413652843795717,0.022084116342509265,3.0,4.361239292135356,0.5,0.0,2.0,0.0,4.0,0.0,8.0,0.0,0.9770436100107447,0.013131820815429086,0.9439654259252597,0.056993821676063455,0.8517892499356667,0.05515602397288524
dag_5_nodes_5_edges_none_ER,new,5,5,50,0.17081990098580718,0.05638062623948818,19.24,13.633033112141064,0.612644,0.1826373289961752,1.07,1.0595050827665546,1.56,1.5140161485133452,8.15,3.0643606384446618,0.9954465097853946,0.004603685621963955,1.0,0.0,0.6610295706732308,0.3449768127777747
dag_5_nodes_5_edges_none_ER,org,5,5,50,0.15790916846133768,0.03130957800639325,15.32,8.47189832472568,0.6142,0.18043043772363587,1.08,1.08496214548843,2.98,3.0937065808126123,8.12,3.0280322970266904,0.9954465097853946,0.004603685621963955,1.0,0.0,0.7928718784790845,0.16562884135556394
dag_5_nodes_5_edges_none_SF,new,5,4,50,0.03963124006055296,0.03433314096824743,2.48,5.610631307925107,0.8552,0.04805707491077244,1.04,0.44994330708638913,1.96,0.44994330708638913,5.16,1.2674898864467905,0.9649895060096543,0.030458327421751568,1.0,0.0,0.6402576489533012,0.0958057281349429
dag_5_nodes_5_edges_none_SF,org,5,4,50,0.04123734342865646,0.03238526589427033,2.48,5.610631307925107,0.8552,0.04805707491077244,1.04,0.44994330708638913,1.96,0.44994330708638913,5.16,1.2674898864467905,0.9649895060096543,0.030458327421751568,1.0,0.0,0.6402576489533012,0.0958057281349429
dag_5_nodes_5_edges_none_random,new,5,5,50,0.13575716238468885,0.028817830062812952,9.34,2.910992537094592,0.7029099999999999,0.10236457903404053,1.22,1.0159945363825453,3.6,2.9692299558323607,13.0,2.474358296526968,0.9908239007756621,0.005825419476354454,0.9727303893399147,0.02690180335563391,0.9250981737803824,0.0340023898545628
dag_5_nodes_5_edges_none_random,org,5,5,50,0.15140422292053698,0.030484606133014302,9.34,2.910992537094592,0.7029099999999999,0.10236457903404053,1.22,1.0159945363825453,3.6,2.9692299558323607,13.0,2.474358296526968,0.9908239007756621,0.005825419476354454,0.9727303893399147,0.02690180335563391,0.9250981737803824,0.0340023898545628
dag_5_nodes_5_edges_semantics_ER,new,5,5,50,0.09275692017748952,0.026767503031519757,2.52,3.8663382454942337,0.797334,0.018851466786433364,0.06,0.4242640687119285,0.04,0.282842712474619,7.16,1.131370849898476,0.998772419242995,0.0023682381295070487,1.0,0.0,0.9492194380903648,0.0760583089364403
dag_5_nodes_5_edges_semantics_ER,org,5,5,50,0.09742448283359409,0.026083310990984016,2.52,3.8663382454942337,0.797334,0.018851466786433364,0.06,0.4242640687119285,0.04,0.282842712474619,7.16,1.131370849898476,0.998772419242995,0.0023682381295070487,1.0,0.0,0.9492194380903648,0.0760583089364403
dag_5_nodes_5_edges_semantics_SF,new,5,4,50,0.05410264171659947,0.014562587484750925,0.5,2.168889492955568,0.49888800000000005,0.007863027406794404,0.02,0.14142135623730948,0.0,0.0,8.0,0.0,0.9994752816557769,0.002312658713091664,0.990990990990991,0.015604061329449321,0.8889039201539202,0.0568545374975829
dag_5_nodes_5_edges_semantics_SF,org,5,4,50,0.059809979954734444,0.020302161818067717,0.5,2.168889492955568,0.49888800000000005,0.007863027406794404,0.02,0.14142135623730948,0.0,0.0,8.0,0.0,0.9994752816557769,0.002312658713091664,0.990990990990991,0.015604061329449321,0.8889039201539202,0.0568545374975829
dag_5_nodes_5_edges_semantics_random,new,5,5,50,0.15161744620651008,0.03235114646113602,11.04,3.827718455088955,0.9595560000000001,0.07661019583660157,0.21,0.40519584581950957,0.97,1.8361728165521074,8.26,1.4400963686574617,0.9916248514962679,0.005644889232303087,0.9994117647058823,0.004159451654038516,0.9033466318733911,0.05613668343266353
dag_5_nodes_5_edges_semantics_random,org,5,5,50,0.15742471062578262,0.02729264289130349,11.04,3.827718455088955,0.964667,0.07218897790959955,0.185,0.3806881524131729,0.845,1.7531967886098343,8.36,1.3962047683280705,0.9916248514962679,0.005644889232303087,0.9994117647058823,0.004159451654038516,0.9033466318733911,0.05613668343266353
dag_5_nodes_7_edges_degrees_ER,new,5,7,50,0.31848961242474616,0.11055172513491629,8.64,2.632295498578519,0.8730120000000001,0.09339280363833488,0.52,0.8141603913585718,0.42,0.49856938190328987,10.96,2.5790363648906878,0.9988287931873115,0.0008874904646109614,1.0,0.0,0.9509086436115567,0.02926060719450348
dag_5_nodes_7_edges_degrees_ER,org,5,7,50,0.3361550533119589,0.08774550588042858,8.64,2.632295498578519,0.860704,0.10570699774106056,0.64,1.0644534862969803,0.66,1.394010511482051,11.24,2.6229754097208007,0.9988287931873115,0.0008874904646109614,1.0,0.0,0.9509086436115567,0.02926060719450348
dag_5_nodes_7_edges_degrees_SF,new,5,4,50,0.05405058640986681,0.021214432247875028,3.94,4.047725488796524,0.5682266666666667,0.014880408107795477,1.24,0.6246631745450127,1.5,1.5152288168283161,6.0,3.030457633656633,0.959317684080712,0.019508506166540103,0.8718241931173155,0.06172032186185907,0.8757769730867718,0.06571156520253985
dag_5_nodes_7_edges_degrees_SF,org,5,4,50,0.059438568372279406,0.02619545763793872,3.94,4.047725488796524,0.5682266666666667,0.014880408107795477,1.24,0.6246631745450127,1.5,1.5152288168283161,6.0,3.030457633656633,0.959317684080712,0.019508506166540103,0.8718241931173155,0.06172032186185907,0.8757769730867718,0.06571156520253985
dag_5_nodes_7_edges_degrees_random,new,5,7,50,0.271430713776499,0.06927343983092248,38.42,10.07338380210393,0.3802918604651162,0.09613809260036942,5.13,0.9357415481306575,9.36,1.574801574802362,15.62,2.1465682150914325,0.9939442595488033,0.005154360872012651,0.997058275058275,0.01266256611908507,0.32130590167992445,0.20414969359109655
dag_5_nodes_7_edges_degrees_random,org,5,7,50,0.1763003381807357,0.060446379725863156,16.12,4.926562737666421,0.37016639999999995,0.07034902737125535,5.907,0.9896407305230539,11.923,1.9538086823808871,14.583,1.786160230031712,0.9939442595488033,0.005154360872012651,0.985778099118954,0.045192130135789335,0.8786408639472149,0.046867496216154075
dag_5_nodes_7_edges_none_ER,new,5,7,50,0.2961528139002621,0.07201910699409816,14.4,5.851914042361155,0.5084259999999999,0.3050784989714842,2.96,2.4574750605996774,1.86,1.590918102280336,12.56,3.0516639823585576,0.9983932004146441,0.0020540246384227107,1.0,0.0,0.8883650598699364,0.05997521156669387
dag_5_nodes_7_edges_none_ER,org,5,7,50,0.28446892797015605,0.09738550493324866,7.02,5.9778161325258,0.363804,0.16643670116256673,2.12,1.6116919744194802,2.12,1.6368212099888577,16.26,1.5883504471171166,0.9983932004146441,0.0020540246384227107,0.9910051280978251,0.015513398283332768,0.9498497433083863,0.055941398005634774
dag_5_nodes_7_edges_none_SF,new,5,4,50,0.035127806374803186,0.02650114718914159,2.42,4.598535703052104,0.38473,0.10036883256778674,2.58,0.859283042389861,2.62,0.7529533687488251,9.46,2.82272122287002,0.9130015636141855,0.05699681252353751,0.9659507223942209,0.05957415176785914,0.6860106185890759,0.2785930063978167
dag_5_nodes_7_edges_none_SF,org,5,4,50,0.03661522694863379,0.026061039417308307,2.36,4.570357017269671,0.38189183673469385,0.09695563168432317,2.62,0.8302937763840224,2.66,0.7722218143851188,9.56,2.7712812921102032,0.9130015636141855,0.05699681252353751,0.9534507223942209,0.0717014562104969,0.6845400303537817,0.277879890927531
dag_5_nodes_7_edges_none_random,new,5,7,50,0.3577524431236088,0.09688414446474239,19.28,22.788324973592086,0.6528525000000001,0.08603861648577177,1.44,1.596041020392493,2.04,2.6183029244305622,17.055,1.7909138586150901,0.9994920422189547,0.0005550785415352382,0.9978033286423214,0.00745490026203624,0.7714166424720001,0.3530231604088504
dag_5_nodes_7_edges_none_random,org,5,7,50,0.33569254863075915,0.08287785056297911,8.72,7.284425656347736,0.6211760000000001,0.12739848709574897,1.98,1.9742216239338892,2.66,3.1142201827967746,17.58,1.6548013013467135,0.9994920422189547,0.0005550785415352382,0.9978033286423214,0.00745490026203624,0.9432264480835343,0.09374205202536583
dag_5_nodes_7_edges_semantics_ER,new,5,7,50,0.47314121773466467,0.06229161198517811,71.2,1.9794866372215747,,,,,,,,,0.999899671824238,0.00021051982955503013,,,,
dag_5_nodes_7_edges_semantics_ER,org,5,7,50,0.3146912010479718,0.06093581687460024,1.48,1.2655562623057202,0.8571,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.999899671824238,0.00021051982955503013,1.0,0.0,0.9961405483568582,0.007003885678822887
dag_5_nodes_7_edges_semantics_SF,new,5,4,50,0.06871367671526968,0.03090651700279969,7.74,5.333031454041493,0.610456,0.09987584774741741,1.76,0.9806287029560293,2.12,1.7915903321818152,11.42,2.807351864265667,0.9607960309086107,0.036784502463394354,0.9230530108189683,0.0825538985957393,0.7939233701365719,0.12797488596707324
